Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-08-02,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.003814901,0.065913094,103.2504553,0.7
0.013,0.003814901,0.065913094,103.2504553,0.7
0.026,0.003391023,0.065913094,103.2266547,0.7
0.038,0.003391023,0.065913094,103.2266547,0.7
0.051,0.003391023,0.065913094,103.2266547,0.7
0.064,0.003391023,0.065913094,103.2266547,0.7
0.076,0.003391023,0.032956547,103.2328432,0.6
0.089,0.003391023,0.065913094,103.2266547,0.7
0.102,0.003391023,0.098869642,103.2266547,0.7
0.115,0.003391023,0.133046802,103.2266547,0.7
0.127,0.003391023,0.231916443,103.2266547,0.7
0.14,0.003814901,0.364963245,103.2204662,0.8
0.153,0.003391023,0.463832887,103.3266547,0.6
0.165,0.003814901,0.629836235,103.3442668,0.7
0.178,0.003391023,0.762883037,103.3504553,0.6
0.191,0.003391023,0.928886386,103.3442668,0.7
0.203,0.003391023,1.060712575,103.3504553,0.6
0.216,0.003391023,1.193759376,103.3442668,0.7
0.229,0.003391023,1.293849631,103.3861562,0.6
0.242,0.003391023,1.42567582,103.3799677,0.7
0.254,0.003391023,1.558722621,103.2799677,0.8
0.267,0.003391023,1.691769423,103.2799677,0.8
0.28,0.003391023,1.823595612,103.3156686,0.8
0.292,0.003391023,1.989598961,103.3218571,0.7
0.305,0.003391023,2.155602309,103.3156686,0.8
0.318,0.003391023,2.288649111,103.3575579,0.7
0.33,0.003391023,2.45465246,103.2513694,0.9
0.343,0.003391023,2.620655809,103.2637464,0.7
0.356,0.003391023,2.752481998,103.2513694,0.9
0.369,0.003391023,2.885528799,103.2637464,0.7
0.381,0.003391023,3.051532148,103.2513694,0.9
0.394,0.003391023,3.217535497,103.2637464,0.7
0.407,0.003391023,3.349361686,103.27517,0.9
0.419,0.002543267,3.515365035,103.2813585,0.8
0.432,0.003391023,3.648411836,103.27517,0.9
0.445,0.002543267,3.781458638,103.1813585,0.9
0.458,0.003391023,3.88032828,103.17517,1
0.47,0.002543267,4.013375081,103.187547,0.8
0.483,0.003391023,4.112244723,103.0813585,1
0.496,0.002543267,4.245291525,103.0813585,1
0.508,0.003391023,4.378338326,103.0813585,1
0.521,0.003391023,4.544341675,103.07517,1.1
0.534,0.003391023,4.676167864,103.087547,0.9
0.546,0.003391023,4.809214666,103.1170594,1
0.559,0.003391023,4.942261467,103.1232479,0.9
0.572,0.002543267,5.108264816,103.1170594,1
0.585,0.002543267,5.240091005,103.0232479,1
0.597,0.002543267,5.406094354,103.0108709,1.2
0.61,0.002543267,5.572097703,103.0232479,1
0.623,0.002543267,5.771057599,103.0465718,1.2
0.635,0.002119389,5.970017495,103.0589488,1
0.648,0.002119389,6.136020844,102.9527603,1.2
0.661,0.002119389,6.33498074,102.9589488,1.1
0.673,0.002543267,6.533940636,102.9527603,1.2
0.686,0.002119389,6.699943985,102.9589488,1.1
0.699,0.002119389,6.865947333,102.9765608,1.2
0.712,0.001271634,7.031950682,102.9827494,1.1
0.724,0.001271634,7.164997484,102.8765608,1.3
0.737,0.000847756,7.296823673,102.8827494,1.2
0.75,0.000847756,7.429870474,102.8827494,1.2
0.762,0,7.562917276,102.8765608,1.3
0.775,0,7.694743465,102.8827494,1.2
0.788,-0.000423878,7.860746814,102.8765608,1.3
0.801,0,7.993793615,102.7827494,1.3
0.813,-0.000423878,8.126840417,102.7765608,1.4
0.826,-0.000423878,8.258666606,102.7827494,1.3
0.839,-0.001271634,8.391713407,102.8122617,1.4
0.851,-0.001695512,8.524760209,102.8184502,1.3
0.864,-0.002543267,8.656586398,102.7122617,1.5
0.877,-0.002543267,8.7896332,102.7184502,1.4
0.889,-0.002967145,8.922680001,102.7122617,1.5
0.902,-0.002967145,9.05450619,102.7184502,1.4
0.915,-0.003814901,9.187552992,102.7122617,1.5
0.928,-0.003814901,9.320599793,102.6184502,1.5
0.94,-0.004662657,9.419469435,102.6122617,1.6
0.953,-0.004662657,9.519559689,102.6122617,1.6
0.966,-0.004662657,9.618429331,102.6479626,1.6
0.978,-0.005086535,9.718519585,102.6417741,1.7
0.991,-0.005086535,9.81860984,102.6417741,1.7
1.004,-0.00593429,9.884522934,102.5479626,1.7
1.016,-0.00593429,9.983392576,102.577475,1.8
1.029,-0.006358168,10.05052628,102.4836635,1.8
1.042,-0.007205924,10.11643938,102.507464,1.8
1.055,-0.007629802,10.18235247,102.407464,1.9
1.067,-0.007629802,10.28244273,102.4369764,2
1.08,-0.008477558,10.38131237,102.3431649,2
1.093,-0.008901436,10.48140262,102.3726773,2.1
1.105,-0.009749191,10.58149288,102.3788658,2
1.118,-0.009749191,10.68036252,102.2788658,2.1
1.131,-0.010173069,10.78045277,102.3088549,2
1.144,-0.011020825,10.84636587,102.3026664,2.1
1.156,-0.011444703,10.94523551,102.3088549,2
1.169,-0.011444703,11.01236922,102.2026664,2.2
1.182,-0.012292459,11.11123886,102.2088549,2.1
1.194,-0.012292459,11.17837257,102.2321787,2.3
1.207,-0.012716337,11.24428566,102.2445558,2.1
1.22,-0.013564092,11.27724221,102.2383672,2.2
1.232,-0.013564092,11.34437591,102.2383672,2.2
1.245,-0.013564092,11.37733246,102.1383672,2.3
1.258,-0.014411848,11.44324556,102.1383672,2.3
1.271,-0.014411848,11.4762021,102.1383672,2.3
