Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-07-31,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.000871169,0.032956547,102.9971817,0
0.013,0,0.032956547,103.1033702,-0.2
0.026,0,0.032956547,103.0971817,-0.1
0.038,0,0.032956547,103.1033702,-0.2
0.051,0,0.032956547,103.0971817,-0.1
0.064,0,0.032956547,103.1033702,-0.2
0.076,0,0.032956547,103.0033702,-0.1
0.089,0.000871169,0.065913094,103.0033702,-0.1
0.102,0.000871169,0.133046802,103.0095587,-0.2
0.115,0,0.26487299,103.0033702,-0.1
0.127,0,0.463832887,103.0452596,-0.2
0.14,0,0.696969943,103.0390711,-0.1
0.153,0,0.99479948,103.0690602,-0.2
0.165,0,1.259672471,102.9628717,0
0.178,0,1.525766074,103.004761,-0.1
0.191,0,1.757682517,102.9985725,0
0.203,0,1.956642413,103.004761,-0.1
0.216,0,2.155602309,102.9342734,0.1
0.229,0,2.354562206,102.9342734,0.1
0.242,0,2.553522102,102.9342734,0.1
0.254,0,2.71952545,102.9342734,0.1
0.267,0,2.918485347,102.7985725,0.2
0.28,0,3.117445243,102.7985725,0.2
0.292,0,3.316405139,102.7985725,0.2
0.305,-0.000435585,3.515365035,102.692384,0.4
0.318,-0.000435585,3.714324931,102.704761,0.2
0.33,-0.000435585,3.847371732,102.5566832,0.5
0.343,-0.000435585,4.013375081,102.5452596,0.3
0.356,-0.001306754,4.17937843,102.3971817,0.6
0.369,-0.001306754,4.378338326,102.4095587,0.4
0.381,-0.001306754,4.544341675,102.2971817,0.7
0.394,-0.001742339,4.743301571,102.2095587,0.6
0.407,-0.002613508,4.90930492,102.2033702,0.7
0.419,-0.003049093,5.075308269,102.1095587,0.7
0.432,-0.003920262,5.240091005,102.1033702,0.8
0.445,-0.005227016,5.439050901,102.1095587,0.7
0.458,-0.0056626,5.63923141,102.1390711,0.8
0.47,-0.00653377,5.871147853,102.0390711,0.9
0.483,-0.007404939,6.070107749,102.0390711,0.9
0.496,-0.008711693,6.302024192,101.9390711,1
0.508,-0.009147278,6.500984088,101.9628717,1
0.521,-0.010018447,6.732900532,101.8566832,1.2
0.534,-0.011325201,6.964816975,101.7690602,1.1
0.546,-0.012631955,7.197954031,101.7628717,1.2
0.559,-0.013938709,7.462827022,101.6690602,1.2
0.572,-0.016116632,7.728920625,101.5566832,1.5
0.585,-0.017423386,7.993793615,101.4690602,1.4
0.597,-0.019165725,8.291623153,101.2566832,1.8
0.61,-0.021343648,8.590673304,101.1690602,1.7
0.623,-0.023085987,8.889723454,101.0566832,2
0.635,-0.02526391,9.154596445,100.8690602,2
