Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-08-02,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.002204046,0.032956547,102.1823513,1.4
0.013,0.002644855,0.032956547,102.2061519,1.4
0.026,0.002204046,0,102.1823513,1.4
0.038,0.002204046,0,102.1823513,1.4
0.051,0.002204046,0,102.1823513,1.4
0.064,0.002204046,0.032956547,102.0823513,1.5
0.076,0.002204046,0.065913094,102.0823513,1.5
0.089,0.001322428,0.065913094,102.1885398,1.3
0.102,0.001322428,0.098869642,102.1823513,1.4
0.115,0.001322428,0.098869642,102.1885398,1.3
0.127,0.001322428,0.133046802,102.1823513,1.4
0.14,0.001322428,0.166003349,102.0885398,1.4
0.153,0.001322428,0.166003349,102.1823513,1.4
0.165,0.001322428,0.231916443,102.2123404,1.3
0.178,0.002204046,0.26487299,102.1999634,1.5
0.191,0.001322428,0.332006698,102.1123404,1.4
0.203,0.001322428,0.397919792,102.1061519,1.5
0.216,0.001322428,0.430876339,102.1123404,1.4
0.229,0.002204046,0.463832887,102.1061519,1.5
0.242,0.002204046,0.496789434,102.1123404,1.4
0.254,0.002204046,0.530966594,102.0999634,1.6
0.267,0.001322428,0.596879688,102.2061519,1.4
0.28,0.002204046,0.662792783,102.2061519,1.4
0.292,0.002204046,0.72992649,102.1418528,1.5
0.305,0.002204046,0.795839584,102.1418528,1.5
0.318,0.001322428,0.861752679,102.1418528,1.5
0.33,0.001322428,0.928886386,102.1418528,1.5
0.343,0.002204046,1.027756028,102.0418528,1.6
0.356,0.002204046,1.094889735,102.0480413,1.5
0.369,0.002204046,1.127846282,102.0775536,1.6
0.381,0.001322428,1.193759376,102.1837421,1.4
0.394,0.001322428,1.259672471,102.1713651,1.6
0.407,0.001322428,1.326806178,102.0837421,1.5
0.419,0.001322428,1.392719272,102.1132545,1.6
0.432,0.001322428,1.45985298,102.119443,1.5
0.445,0.001322428,1.525766074,102.107066,1.7
0.458,0.001322428,1.591679168,102.119443,1.5
0.47,0.001322428,1.658812876,102.107066,1.7
0.483,0.001322428,1.72472597,102.1370551,1.6
0.496,0.001322428,1.790639065,102.1370551,1.6
0.508,0.000881618,1.857772772,102.1370551,1.6
0.521,0.001322428,1.923685866,102.1370551,1.6
0.534,0.001322428,2.023776121,102.1370551,1.6
0.546,0.000881618,2.089689215,102.1370551,1.6
0.559,0.000881618,2.155602309,102.0370551,1.7
0.572,0.000881618,2.222736017,102.0370551,1.7
0.585,0.000881618,2.288649111,102.0665674,1.8
0.597,0.000881618,2.387518753,101.9789445,1.7
0.61,0,2.45465246,102.072756,1.7
0.623,0,2.520565554,102.1146453,1.6
0.635,0,2.586478649,102.1022683,1.8
0.648,0,2.653612356,102.1146453,1.6
0.661,0,2.71952545,102.0022683,1.9
0.673,0,2.786659158,102.1084568,1.7
0.686,-0.000440809,2.852572252,102.0322574,1.8
0.699,-0.000440809,2.918485347,102.0384459,1.7
0.712,-0.000440809,2.985619054,102.0322574,1.8
0.724,-0.000440809,3.084488695,102.0322574,1.8
0.737,-0.000440809,3.15040179,102.0260689,1.9
0.75,-0.001322428,3.217535497,102.0322574,1.8
0.762,-0.001322428,3.283448591,102.0679583,1.8
0.775,-0.001322428,3.349361686,102.0679583,1.8
0.788,-0.001322428,3.416495393,102.0679583,1.8
0.801,-0.002204046,3.482408487,101.9679583,1.9
0.813,-0.002204046,3.549542195,101.9384459,1.8
0.826,-0.002204046,3.615455289,101.8679583,2
0.839,-0.002204046,3.681368384,101.8322574,2
0.851,-0.002204046,3.748502091,101.9679583,1.9
0.864,-0.002204046,3.814415185,101.8679583,2
0.877,-0.002204046,3.88032828,101.9679583,1.9
0.889,-0.002204046,3.947461987,101.9679583,1.9
0.902,-0.002644855,4.013375081,101.9679583,1.9
0.915,-0.002204046,4.046331628,101.8679583,2
0.928,-0.002204046,4.112244723,101.9036592,2
0.94,-0.002644855,4.17937843,101.9036592,2
