Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-02-16,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,-0.032956547,98.9507151,-0.1
0.013,0,-0.032956547,98.9445266,0
0.026,0,-0.032956547,98.9507151,-0.1
0.038,0,-0.032956547,98.9445266,0
0.051,0,-0.065913094,98.8507151,0
0.064,0,-0.100090254,98.82072601,0.1
0.076,0,-0.100090254,98.9445266,0
0.089,0,-0.100090254,98.9445266,0
0.102,0,-0.100090254,98.8507151,0
0.115,0,-0.065913094,98.8507151,0
0.127,0,-0.032956547,98.9507151,-0.1
0.14,0,0,98.92072601,0
0.153,0,0.032956547,98.92072601,0
0.165,0,0.065913094,98.92072601,0
0.178,0,0.100090254,98.92691452,-0.1
0.191,0,0.133046802,98.92072601,0
0.203,0,0.133046802,98.92691452,-0.1
0.216,0,0.166003349,98.92072601,0
0.229,0,0.198959896,98.82691452,0
0.242,0,0.198959896,98.82072601,0.1
0.254,0.000431308,0.198959896,98.9445266,0
0.267,0.000431308,0.231916443,98.91453751,0.1
0.28,0.000431308,0.231916443,98.92691452,-0.1
0.292,0,0.231916443,98.92072601,0
0.305,0,0.231916443,98.9507151,-0.1
0.318,0,0.231916443,98.9445266,0
0.33,0,0.231916443,98.8507151,0
0.343,0,0.231916443,98.8445266,0.1
0.356,0,0.231916443,98.9507151,-0.1
0.369,0,0.231916443,98.9445266,0
0.381,0,0.231916443,98.9507151,-0.1
0.394,0,0.231916443,98.9445266,0
0.407,0.000431308,0.231916443,98.9445266,0
0.419,0.000431308,0.231916443,98.9445266,0
0.432,0,0.198959896,98.9445266,0
0.445,0.000431308,0.198959896,98.92691452,-0.1
0.458,0.000431308,0.198959896,98.92072601,0
0.47,0.000431308,0.198959896,98.83310303,-0.1
0.483,0,0.198959896,98.82691452,0
0.496,0,0.198959896,98.92691452,-0.1
0.508,0,0.198959896,98.92072601,0
0.521,0.000431308,0.198959896,98.92691452,-0.1
0.534,0,0.198959896,98.9445266,0
0.546,0,0.198959896,98.92072601,0
0.559,0,0.198959896,98.92072601,0
0.572,0,0.198959896,98.92072601,0
0.585,0,0.198959896,98.92072601,0
0.597,0,0.198959896,98.82691452,0
0.61,0,0.166003349,98.8507151,0
0.623,0.000431308,0.166003349,98.9445266,0
0.635,0.000431308,0.166003349,98.92691452,-0.1
0.648,0.000431308,0.166003349,98.9445266,0
0.661,0,0.166003349,98.82691452,0
0.673,0,0.166003349,98.92072601,0
0.686,0,0.166003349,98.92072601,0
0.699,0,0.166003349,98.92072601,0
0.712,0,0.166003349,98.92072601,0
0.724,0,0.166003349,98.9507151,-0.1
0.737,0.000431308,0.166003349,98.9445266,0
0.75,0.000431308,0.166003349,98.8507151,0
0.762,0.000431308,0.166003349,98.82691452,0
0.775,0,0.166003349,98.82691452,0
0.788,0.000431308,0.166003349,98.92072601,0
0.801,0.000431308,0.166003349,98.92691452,-0.1
0.813,0,0.166003349,98.9445266,0
0.826,0.000431308,0.166003349,98.92691452,-0.1
0.839,0.000431308,0.166003349,98.92072601,0
0.851,0,0.133046802,98.82691452,0
0.864,0.000431308,0.133046802,98.92691452,-0.1
0.877,0.000431308,0.133046802,98.9507151,-0.1
0.889,0.000431308,0.166003349,98.82691452,0
0.902,0.000431308,0.166003349,98.92072601,0
0.915,0,0.133046802,98.9507151,-0.1
0.928,0,0.166003349,98.9445266,0
0.94,0,0.166003349,98.85690361,-0.1
0.953,0,0.133046802,98.8445266,0.1
0.966,0,0.133046802,98.9507151,-0.1
0.978,0,0.133046802,98.93833809,0.1
0.991,0,0.133046802,98.85690361,-0.1
1.004,0,0.133046802,98.8445266,0.1
1.016,0.000431308,0.133046802,98.9507151,-0.1
1.029,0,0.133046802,98.91453751,0.1
1.042,0,0.133046802,98.9507151,-0.1
1.055,0,0.133046802,98.9445266,0
1.067,0,0.133046802,98.8507151,0
1.08,0,0.133046802,98.92072601,0
1.093,0,0.133046802,98.92691452,-0.1
1.105,0,0.133046802,98.92072601,0
1.118,0,0.133046802,98.9507151,-0.1
1.131,0.000431308,0.133046802,98.92072601,0
1.144,0.000431308,0.133046802,98.92691452,-0.1
1.156,0,0.133046802,98.92072601,0
1.169,0,0.133046802,98.9507151,-0.1
1.182,0,0.133046802,98.9445266,0
1.194,0,0.133046802,98.8507151,0
1.207,0,0.133046802,98.8507151,0
1.22,0,0.133046802,98.9507151,-0.1
1.232,0.000431308,0.133046802,98.92072601,0
1.245,0,0.133046802,98.9507151,-0.1
1.258,0,0.133046802,98.9445266,0
1.271,0,0.133046802,98.9507151,-0.1
1.283,0,0.133046802,98.9445266,0
1.296,0,0.133046802,98.92691452,-0.1
1.309,0,0.133046802,98.9445266,0
1.321,0,0.133046802,98.9507151,-0.1
1.334,0,0.133046802,98.8445266,0.1
1.347,0,0.133046802,98.8507151,0
1.359,0,0.133046802,98.9445266,0
1.372,0,0.133046802,98.9507151,-0.1
1.385,0,0.133046802,98.9445266,0
1.398,0,0.166003349,98.9445266,0
1.41,0,0.133046802,98.9445266,0
1.423,0,0.133046802,98.8507151,0
1.436,0,0.133046802,98.85690361,-0.1
1.448,0,0.166003349,98.92072601,0
1.461,0,0.166003349,98.92691452,-0.1
1.474,0,0.133046802,98.9445266,0
1.487,0,0.133046802,98.9507151,-0.1
1.499,0,0.133046802,98.9445266,0
1.512,0,0.133046802,98.92691452,-0.1
1.525,0.000431308,0.133046802,98.9445266,0
1.537,0.000431308,0.133046802,98.8507151,0
1.55,0.000431308,0.133046802,98.8445266,0.1
1.563,0,0.133046802,98.8507151,0
1.575,0,0.133046802,98.92072601,0
1.588,0,0.133046802,98.9507151,-0.1
1.601,0,0.133046802,98.92072601,0
1.614,0,0.133046802,98.92072601,0
1.626,0.000431308,0.133046802,98.92072601,0
1.639,0,0.133046802,98.9445266,0
1.652,0,0.133046802,98.9445266,0
1.664,0,0.133046802,98.8507151,0
1.677,0,0.133046802,98.8507151,0
1.69,0,0.133046802,98.85690361,-0.1
1.702,0,0.133046802,98.9445266,0
1.715,0,0.133046802,98.9507151,-0.1
1.728,0,0.133046802,98.9445266,0
1.741,0.000431308,0.133046802,98.9507151,-0.1
1.753,0.000431308,0.133046802,98.9445266,0
1.766,0.000431308,0.133046802,98.92691452,-0.1
1.779,0,0.133046802,98.9445266,0
1.791,0,0.133046802,98.9507151,-0.1
1.804,0,0.133046802,98.8445266,0.1
1.817,0,0.133046802,98.85690361,-0.1
1.83,0,0.133046802,98.9445266,0
1.842,0,0.133046802,98.92691452,-0.1
1.855,0,0.133046802,98.92072601,0
1.868,0,0.133046802,98.9507151,-0.1
1.88,0,0.133046802,98.9445266,0
1.893,0,0.133046802,98.9507151,-0.1
1.906,0,0.100090254,98.8507151,0
1.918,0,0.100090254,98.82691452,0
1.931,0.000431308,0.133046802,98.92072601,0
1.944,0,0.133046802,98.92072601,0
1.957,0,0.133046802,98.8507151,0
1.969,0,0.133046802,98.9445266,0
1.982,0,0.133046802,98.9445266,0
1.995,0,0.100090254,98.9445266,0
2.007,0,0.100090254,98.9507151,-0.1
2.02,0,0.133046802,98.92072601,0
2.033,0,0.133046802,98.8507151,0
2.045,0,0.133046802,98.8507151,0
2.058,0,0.133046802,98.8507151,0
2.071,0,0.133046802,98.9507151,-0.1
2.084,0.000431308,0.133046802,98.92072601,0
2.096,0.000431308,0.133046802,98.92072601,0
2.109,0,0.133046802,98.9445266,0
2.122,0.000431308,0.133046802,98.9445266,0
2.134,0,0.133046802,98.9445266,0
2.147,0,0.133046802,98.8507151,0
2.16,0,0.133046802,98.8507151,0
2.173,0.000431308,0.133046802,98.92691452,-0.1
2.185,0.000431308,0.133046802,98.92072601,0
2.198,0,0.133046802,98.9445266,0
2.211,0,0.133046802,98.8507151,0
2.223,0,0.133046802,98.9445266,0
2.236,0,0.133046802,98.9507151,-0.1
2.249,0,0.133046802,98.9445266,0
2.261,0,0.133046802,98.9507151,-0.1
2.274,0,0.133046802,98.9445266,0
2.287,0,0.133046802,98.92691452,-0.1
2.3,0,0.133046802,98.92072601,0
2.312,0,0.133046802,98.92691452,-0.1
2.325,0,0.133046802,98.92072601,0
2.338,0,0.133046802,98.9507151,-0.1
2.35,0,0.133046802,98.9445266,0
2.363,0,0.133046802,98.92691452,-0.1
2.376,0,0.133046802,98.8507151,0
2.388,0.000431308,0.100090254,98.92691452,-0.1
2.401,0,0.133046802,98.92072601,0
2.414,0,0.133046802,98.92072601,0
2.427,0,0.133046802,98.92072601,0
2.439,0,0.100090254,98.92072601,0
2.452,0.000431308,0.100090254,98.9507151,-0.1
2.465,0,0.100090254,98.8445266,0.1
2.477,0.000431308,0.133046802,98.83310303,-0.1
