Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-09-21,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,-0.000426617,-5.241311618,101.6037438,-0.2
0.013,-0.000426617,-5.241311618,101.6099323,-0.3
0.026,-0.000426617,-5.274268165,101.5680429,-0.2
0.038,-0.000426617,-5.373137807,101.5742314,-0.3
0.051,-0.000426617,-5.539141155,101.5323421,-0.2
0.064,0,-5.705144504,101.5385306,-0.3
0.076,0,-5.838191306,101.5085415,-0.2
0.089,0,-5.937060947,101.51473,-0.3
0.102,0,-6.004194655,101.4728406,-0.2
0.115,0,-6.004194655,101.5790291,-0.4
0.127,0,-5.970017495,101.5085415,-0.2
0.14,0,-5.871147853,101.51473,-0.3
0.153,0,-5.738101051,101.5085415,-0.2
0.165,-0.000426617,-5.63923141,101.51473,-0.3
0.178,0,-5.539141155,101.4385306,-0.2
0.191,-0.000426617,-5.473228061,101.4385306,-0.2
0.203,-0.000426617,-5.440271514,101.4385306,-0.2
0.216,-0.000426617,-5.406094354,101.4385306,-0.2
0.229,-0.000426617,-5.406094354,101.4385306,-0.2
0.242,-0.000426617,-5.406094354,101.4385306,-0.2
0.254,-0.000426617,-5.406094354,101.4385306,-0.2
0.267,-0.000426617,-5.406094354,101.4385306,-0.2
0.28,0,-5.406094354,101.4742314,-0.2
0.292,0,-5.406094354,101.4742314,-0.2
0.305,-0.000426617,-5.406094354,101.4385306,-0.2
0.318,-0.000426617,-5.440271514,101.5323421,-0.2
0.33,-0.000426617,-5.440271514,101.5323421,-0.2
0.343,-0.000426617,-5.440271514,101.5323421,-0.2
0.356,-0.000426617,-5.473228061,101.5323421,-0.2
0.369,-0.000426617,-5.473228061,101.5323421,-0.2
0.381,0,-5.473228061,101.5323421,-0.2
0.394,0,-5.506184608,101.5323421,-0.2
0.407,0,-5.506184608,101.5323421,-0.2
0.419,0,-5.506184608,101.5323421,-0.2
0.432,0,-5.506184608,101.5323421,-0.2
0.445,0,-5.539141155,101.5385306,-0.3
0.458,0,-5.572097703,101.5323421,-0.2
0.47,-0.000426617,-5.572097703,101.5385306,-0.3
0.483,-0.000426617,-5.572097703,101.5323421,-0.2
0.496,-0.000426617,-5.60505425,101.5385306,-0.3
0.508,-0.000426617,-5.60505425,101.5323421,-0.2
0.521,-0.000426617,-5.63923141,101.5385306,-0.3
0.534,0,-5.63923141,101.5323421,-0.2
0.546,-0.000426617,-5.63923141,101.4385306,-0.2
0.559,0,-5.63923141,101.41473,-0.2
0.572,-0.000426617,-5.672187957,101.41473,-0.2
0.585,-0.000426617,-5.672187957,101.41473,-0.2
0.597,-0.000426617,-5.63923141,101.4385306,-0.2
0.61,-0.000426617,-5.63923141,101.4385306,-0.2
0.623,0,-5.60505425,101.4323421,-0.1
0.635,0,-5.60505425,101.4385306,-0.2
0.648,0,-5.572097703,101.4323421,-0.1
0.661,0,-5.572097703,101.4447191,-0.3
0.673,0,-5.539141155,101.4323421,-0.1
0.686,0,-5.539141155,101.4385306,-0.2
0.699,0,-5.506184608,101.4323421,-0.1
0.712,0,-5.506184608,101.4385306,-0.2
0.724,0,-5.506184608,101.4323421,-0.1
0.737,-0.000426617,-5.473228061,101.4385306,-0.2
0.75,-0.000426617,-5.473228061,101.4323421,-0.1
0.762,-0.000426617,-5.440271514,101.4385306,-0.2
0.775,-0.000426617,-5.440271514,101.4680429,-0.1
0.788,0,-5.440271514,101.4742314,-0.2
0.801,0,-5.440271514,101.4742314,-0.2
0.813,-0.000426617,-5.440271514,101.4680429,-0.1
0.826,-0.000426617,-5.440271514,101.4742314,-0.2
0.839,0,-5.440271514,101.4680429,-0.1
0.851,0,-5.473228061,101.4385306,-0.2
0.864,-0.000426617,-5.473228061,101.4680429,-0.1
0.877,-0.000426617,-5.440271514,101.4742314,-0.2
0.889,-0.000426617,-5.440271514,101.4680429,-0.1
0.902,-0.000426617,-5.440271514,101.5385306,-0.3
0.915,-0.000426617,-5.440271514,101.5261536,-0.1
0.928,-0.000426617,-5.440271514,101.5323421,-0.2
0.94,-0.000426617,-5.440271514,101.5323421,-0.2
0.953,-0.000426617,-5.406094354,101.5323421,-0.2
0.966,-0.000426617,-5.406094354,101.5680429,-0.2
0.978,-0.000426617,-5.373137807,101.5680429,-0.2
0.991,0,-5.340181259,101.5680429,-0.2
1.004,0,-5.307224712,101.5680429,-0.2
1.016,0,-5.274268165,101.5680429,-0.2
1.029,-0.000426617,-5.241311618,101.5680429,-0.2
1.042,-0.000426617,-5.207134458,101.4680429,-0.1
1.055,-0.000426617,-5.17417791,101.4680429,-0.1
1.067,-0.000426617,-5.141221363,101.5099323,-0.2
1.08,-0.000426617,-5.108264816,101.5037438,-0.1
1.093,-0.000426617,-5.108264816,101.5099323,-0.2
1.105,-0.000426617,-5.108264816,101.5037438,-0.1
1.118,0,-5.108264816,101.5099323,-0.2
1.131,0,-5.108264816,101.5037438,-0.1
1.144,-0.000426617,-5.141221363,101.5099323,-0.2
1.156,-0.000426617,-5.141221363,101.5037438,-0.1
1.169,-0.000426617,-5.17417791,101.5099323,-0.2
1.182,0,-5.241311618,101.4680429,-0.1
1.194,-0.000426617,-5.274268165,101.4680429,-0.1
1.207,0,-5.340181259,101.4680429,-0.1
1.22,0,-5.406094354,101.4680429,-0.1
1.232,0,-5.473228061,101.5680429,-0.2
1.245,0,-5.539141155,101.5680429,-0.2
1.258,-0.000426617,-5.60505425,101.5742314,-0.3
1.271,-0.000426617,-5.672187957,101.5323421,-0.2
1.283,-0.000426617,-5.738101051,101.5385306,-0.3
1.296,-0.000426617,-5.771057599,101.5323421,-0.2
1.309,-0.000426617,-5.838191306,101.5385306,-0.3
1.321,-0.000426617,-5.871147853,101.5085415,-0.2
