Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-08-06,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.001284451,-0.032956547,102.0783666,-0.2
0.013,0.002140752,-0.032956547,102.0721781,-0.1
0.026,0.001284451,-0.032956547,102.1140674,-0.2
0.038,0.001284451,-0.032956547,102.0721781,-0.1
0.051,0.001284451,-0.032956547,102.1078789,-0.1
0.064,0.001284451,0,102.1078789,-0.1
0.076,0.001284451,0,102.1078789,-0.1
0.089,0.001284451,0,102.1078789,-0.1
0.102,0.001284451,0,102.1078789,-0.1
0.115,0.001284451,-0.032956547,102.1078789,-0.1
0.127,0.001284451,0,102.1140674,-0.2
0.14,0.001284451,0,102.1078789,-0.1
0.153,0.001284451,0,102.1078789,-0.1
0.165,0.001284451,0,102.1078789,-0.1
0.178,0.001284451,0,102.1078789,-0.1
0.191,0.001284451,0,102.1140674,-0.2
0.203,0.001284451,0,102.1078789,-0.1
0.216,0.000856301,0,102.1140674,-0.2
0.229,0.001284451,0,102.1078789,-0.1
0.242,0.001284451,0,102.1078789,-0.1
0.254,0.002140752,0,102.1078789,-0.1
0.267,0.001284451,0,102.1078789,-0.1
0.28,0.001284451,0,102.1078789,-0.1
0.292,0.001284451,0,102.1078789,-0.1
0.305,0.002140752,0,102.1078789,-0.1
0.318,0.001284451,0,102.1078789,-0.1
0.33,0.002140752,0,102.1078789,-0.1
0.343,0.001284451,-0.032956547,102.1078789,-0.1
0.356,0.001284451,0,102.0721781,-0.1
0.369,0.001284451,0,102.0721781,-0.1
0.381,0.001284451,0,102.1140674,-0.2
0.394,0.001284451,0,102.1078789,-0.1
0.407,0.001284451,0,102.1140674,-0.2
0.419,0.002140752,0,102.1078789,-0.1
0.432,0.001284451,0,102.1140674,-0.2
0.445,0.002140752,0,102.1078789,-0.1
0.458,0.001284451,0,102.1140674,-0.2
0.47,0.001284451,0,102.1016904,0
0.483,0.001284451,-0.032956547,102.1140674,-0.2
0.496,0.001284451,-0.032956547,102.1078789,-0.1
0.508,0.001284451,-0.032956547,102.1140674,-0.2
0.521,0.002140752,-0.032956547,102.1078789,-0.1
0.534,0.001284451,-0.032956547,102.1140674,-0.2
0.546,0.002140752,0,102.1078789,-0.1
0.559,0.001284451,0,102.1078789,-0.1
0.572,0.001284451,0,102.0721781,-0.1
0.585,0.001284451,-0.032956547,102.1078789,-0.1
0.597,0.001284451,-0.032956547,102.1140674,-0.2
0.61,0.001284451,-0.032956547,102.0721781,-0.1
0.623,0.001284451,-0.032956547,102.0783666,-0.2
0.635,0.001284451,-0.032956547,102.1078789,-0.1
0.648,0.001284451,-0.032956547,102.1140674,-0.2
0.661,0.002140752,-0.032956547,102.0659895,0
0.673,0.001284451,-0.032956547,102.0783666,-0.2
0.686,0.001284451,-0.032956547,102.1016904,0
0.699,0.001284451,-0.032956547,102.1140674,-0.2
0.712,0.001284451,-0.032956547,102.1016904,0
0.724,0.001284451,-0.032956547,102.1140674,-0.2
0.737,0.001284451,-0.032956547,102.1016904,0
0.75,0.001284451,-0.032956547,102.1140674,-0.2
0.762,0.001284451,-0.032956547,102.1078789,-0.1
0.775,0.001284451,-0.032956547,102.0783666,-0.2
0.788,0.001284451,-0.032956547,102.0783666,-0.2
0.801,0.001284451,-0.032956547,102.1078789,-0.1
0.813,0.002140752,-0.032956547,102.0783666,-0.2
0.826,0.001284451,-0.032956547,102.0721781,-0.1
0.839,0.001284451,-0.032956547,102.0783666,-0.2
0.851,0.001284451,-0.032956547,102.0659895,0
0.864,0.001284451,-0.032956547,102.0783666,-0.2
0.877,0.001284451,-0.032956547,102.1078789,-0.1
0.889,0.001284451,0,102.0783666,-0.2
0.902,0.002140752,0,102.0721781,-0.1
0.915,0.001284451,-0.032956547,102.0783666,-0.2
0.928,0.002140752,-0.032956547,102.1078789,-0.1
0.94,0.001284451,-0.032956547,102.1140674,-0.2
0.953,0.002140752,-0.032956547,102.1078789,-0.1
0.966,0.001284451,-0.032956547,102.1078789,-0.1
0.978,0.001284451,-0.032956547,102.1078789,-0.1
0.991,0.001284451,-0.032956547,102.0721781,-0.1
1.004,0.001284451,-0.032956547,102.0721781,-0.1
1.016,0.001284451,-0.032956547,102.1078789,-0.1
1.029,0.001284451,-0.032956547,102.0783666,-0.2
1.042,0.001284451,0,102.0721781,-0.1
1.055,0.001284451,-0.032956547,102.0783666,-0.2
1.067,0.001284451,0,102.0721781,-0.1
1.08,0.001284451,-0.032956547,102.1140674,-0.2
1.093,0.001284451,-0.032956547,102.0721781,-0.1
1.105,0.001284451,-0.032956547,102.0783666,-0.2
1.118,0.001284451,-0.032956547,102.0721781,-0.1
1.131,0.001284451,-0.032956547,102.1140674,-0.2
1.144,0.001284451,-0.032956547,102.1078789,-0.1
1.156,0.000856301,0,102.1140674,-0.2
1.169,0.001284451,0,102.1078789,-0.1
1.182,0.001284451,0,102.0783666,-0.2
1.194,0.001284451,0,102.0721781,-0.1
1.207,0.001284451,0,102.1140674,-0.2
1.22,0.002140752,0,102.1078789,-0.1
1.232,0.001284451,0,102.1078789,-0.1
1.245,0.001284451,0,102.0721781,-0.1
1.258,0.001284451,-0.032956547,102.0721781,-0.1
1.271,0.002140752,0,102.0783666,-0.2
1.283,0.001284451,0,102.1078789,-0.1
1.296,0.002140752,0,102.1140674,-0.2
1.309,0.001284451,0,102.1078789,-0.1
1.321,0.001284451,0,102.1140674,-0.2
1.334,0.001284451,0,102.1078789,-0.1
1.347,0.001284451,-0.032956547,102.0721781,-0.1
1.359,0.001284451,-0.032956547,102.1078789,-0.1
1.372,0.002140752,0,102.1078789,-0.1
1.385,0.001284451,0,102.0721781,-0.1
1.398,0.002140752,0,102.0721781,-0.1
1.41,0.001284451,0,102.0721781,-0.1
1.423,0.001284451,0,102.1078789,-0.1
1.436,0.001284451,0,102.1078789,-0.1
1.448,0.001284451,0,102.1078789,-0.1
1.461,0.001284451,0,102.0721781,-0.1
1.474,0.001284451,0,102.0721781,-0.1
1.487,0.001284451,0,102.0783666,-0.2
1.499,0.001284451,0,102.0721781,-0.1
1.512,0.001284451,0,102.0721781,-0.1
1.525,0.001284451,0,102.0721781,-0.1
1.537,0.001284451,0,102.1078789,-0.1
1.55,0.001284451,0,102.1078789,-0.1
1.563,0.001284451,0,102.1078789,-0.1
1.575,0.001284451,0,102.1078789,-0.1
1.588,0.002140752,0,102.1140674,-0.2
1.601,0.001284451,0,102.1078789,-0.1
