Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-08-05,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.001345132,-0.032956547,102.9031677,-0.2
0.013,0.000448377,-0.032956547,102.8969792,-0.1
0.026,0.000448377,-0.032956547,102.9031677,-0.2
0.038,0.000448377,-0.032956547,102.8612783,-0.1
0.051,0.000448377,-0.032956547,102.8674669,-0.2
0.064,0.000448377,-0.032956547,102.8612783,-0.1
0.076,0.000448377,-0.032956547,102.8674669,-0.2
0.089,0.000448377,-0.032956547,102.8612783,-0.1
0.102,0.000448377,-0.032956547,102.9031677,-0.2
0.115,0.000448377,-0.032956547,102.8612783,-0.1
0.127,0,-0.032956547,102.8674669,-0.2
0.14,0.000448377,-0.032956547,102.8612783,-0.1
0.153,0,-0.032956547,102.9031677,-0.2
0.165,0.000448377,-0.032956547,102.8612783,-0.1
0.178,0.000448377,0,102.8674669,-0.2
0.191,0.000448377,0,102.8674669,-0.2
0.203,0,0,102.8674669,-0.2
0.216,0.000448377,0,102.8674669,-0.2
0.229,0,0,102.8674669,-0.2
0.242,0.000448377,0,102.8674669,-0.2
0.254,0.000448377,0,102.8969792,-0.1
0.267,0.001345132,0,102.8674669,-0.2
0.28,0.000448377,0,102.9031677,-0.2
0.292,0.001345132,0,102.8674669,-0.2
0.305,0.000448377,0.032956547,102.8969792,-0.1
0.318,0.000448377,0.032956547,102.9031677,-0.2
0.33,0.000448377,0.065913094,102.8969792,-0.1
0.343,0.000448377,0.065913094,102.8674669,-0.2
0.356,0.000448377,0.065913094,102.9031677,-0.2
0.369,0.001345132,0.065913094,102.8674669,-0.2
0.381,0.000448377,0.100090254,102.8674669,-0.2
0.394,0.000448377,0.100090254,102.8674669,-0.2
0.407,0.000448377,0.133046802,102.8674669,-0.2
0.419,0.000448377,0.133046802,102.9031677,-0.2
0.432,0.000448377,0.133046802,102.8031677,-0.1
0.445,0.000448377,0.166003349,102.9031677,-0.2
0.458,0.000448377,0.198959896,102.8031677,-0.1
0.47,0.000448377,0.198959896,102.8031677,-0.1
0.483,0.000448377,0.198959896,102.8031677,-0.1
0.496,0.000448377,0.231916443,102.8031677,-0.1
0.508,0.000448377,0.26487299,102.8031677,-0.1
0.521,0.000448377,0.26487299,102.8031677,-0.1
0.534,0.000448377,0.299050151,102.7969792,0
0.546,0.000448377,0.332006698,102.8031677,-0.1
0.559,0.000448377,0.364963245,102.7969792,0
0.572,0.000448377,0.364963245,102.8031677,-0.1
0.585,0.000448377,0.397919792,102.7969792,0
0.597,0.000448377,0.430876339,102.8388686,-0.1
0.61,0.001345132,0.463832887,102.8326801,0
0.623,0.000448377,0.498010047,102.8388686,-0.1
0.635,0.001345132,0.530966594,102.7969792,0
