X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Pu_Experiment,Unnamed: 11,Est 1,Est 2,Est 3,Est 4,Est 5,Est 6,Est 7,Est 8,Est 9,Est 10,Est 11,Est 12,Est 13,Est 14,Est 15,Est 16,Est 17,Est 18,Est 19,Est 20,Est 21,Est 22,Est 23,Est 24,Est 25,Est 26,Est 27,Est 28,Est 29,Est 30,Est 31,Est 32,Est 33,Est 34,Est 35,Est 36,Est 37,Est 38,Est 39,Est 40,Est 41,Est 42,Est 43,Est 44,Est 45,Est 46,Est 47,Est 48,Est 49,Est 50,Est 51,Est 52,Pu_Prediction,R_square
0.4,4.35,8.0,1.0,2.05,3.48,2.08,15.4,13.35,7.631086142,1.395,,0.02794857112794612,0.05555018793207517,0.08294741795177404,0.11022607881637239,0.12852025390054747,0.1562696503102971,0.18397409089671682,0.21199895181330566,0.23010687028372412,0.24841107861705744,0.27638448139483524,0.3039091782643238,0.33199774623570427,0.3503222916902497,0.3688605295374719,0.38731506271648425,0.4147946923461139,0.44237901392731044,0.47039309957545855,0.4985415741718498,0.526210206615568,0.5538420969474585,0.5816533785131149,0.6093205430152794,0.636932913495879,0.6648684227551382,0.6835195591187746,0.711940878563219,0.7305117497753402,0.7486273963419378,0.7852384331898858,0.8138027850417376,0.8417882828772354,0.8690996522591532,0.897069355952667,0.924318519462768,0.9427548868127382,0.9610981128228392,0.9796257417910931,1.0071376865111106,1.0348873293682532,1.0630003502015863,1.0815140307571418,1.1095151439107367,1.1370947388181438,1.1645295219565455,1.1929100933980852,1.2205274629933591,1.2388482963266925,1.2666952947834826,1.2944428545828655,1.3128181902310134,1.3311542634633367,0.9728954432998599
0.3,3.4,5.25,0.0,3.4,3.47,3.42,12.05,8.65,6.75,0.5598,,0.012130268199233709,0.024260536398467418,0.03645324473180075,0.048557983293892236,0.05661444162722557,0.0688071499605589,0.08150209037497702,0.09362498464020998,0.10175345686243219,0.10981948895055478,0.12198902020055476,0.13421707575611033,0.14626795613245444,0.15439642835467668,0.1624433664859898,0.17049982481932316,0.18265156093043428,0.19476273517285853,0.20685672657497495,0.2189869947742087,0.23117970310754204,0.24347042731389126,0.25563995856389127,0.26777414259166904,0.28110205180384734,0.293062784610747,0.30112144276486885,0.3133141510982022,0.32138018318632483,0.3294366415196582,0.3466976670512809,0.35875592136162576,0.37091493086454974,0.3831076391978831,0.39530034753121646,0.4073756523151671,0.41548988516086544,0.4236183573830877,0.4317468296053099,0.44387709780454365,0.4559353521148885,0.46808708822599965,0.4762155604482219,0.48840826878155524,0.5006009771148886,0.5126337238106771,0.524791084921788,0.5369213531210216,0.5450498253432438,0.5571840093710214,0.5692805787398457,0.5773210693312435,0.5854977423110415,
0.3,3.4,5.3,0.0,3.4,3.52,3.42,12.1,8.7,6.76,0.5089,,0.01233375573030136,0.02477945403277048,0.036977071702523547,0.04889664240959425,0.05714281676475297,0.06889368482030853,0.08174449665315936,0.09377617875192479,0.10195172369791243,0.10990345980902354,0.12207451015624575,0.13406882439235684,0.1459964285590235,0.15392852732445558,0.1619632032503815,0.16999629407930564,0.18205933902529325,0.19398694319195992,0.2061383561935031,0.21817050125523146,0.22999010002066353,0.24217079818534604,0.25399039695077813,0.2656528969507781,0.2791399882617218,0.2909595870271539,0.299066401263265,0.31140875948085756,0.31989702978898077,0.32821042195719063,0.3451133311693689,0.3572036407191147,0.36932167023300355,0.3812422610619277,0.39332494335359436,0.4055258355218042,0.4134775716329153,0.42170856410976715,0.4298841090557548,0.4421592373350758,0.45413593486594,0.4672094697243278,0.47520940659301464,0.48714261737732834,0.4992076829637481,0.5111408937480618,0.5233506998823212,0.5356065478586118,0.5436249940391674,0.5554445928045996,0.5672838289157107,0.5752713752120071,0.5832034739774392,
0.4,4.25,8.0,0.9,2.15,3.56,2.26,15.3,13.15,7.61,1.395,,0.02799635416666665,0.056435879629629586,0.08421240111470689,0.11327490111470685,0.13282698444804011,0.16179287950976848,0.19033296789360687,0.21924727840947988,0.23842181544651692,0.25712419639889783,0.2861605208036597,0.3138256993750883,0.34213543445739286,0.36181995826691665,0.38124819900765733,0.40079603851383017,0.42989378156938574,0.4589270156963698,0.4874878760358759,0.5165021286813786,0.5451552565992124,0.5735718240595298,0.6024688726706408,0.630877206003974,0.6597576510797315,0.6887326510797315,0.7077942830241759,0.7369676047834351,0.7557543787733342,0.7752346615114294,0.8132658036784411,0.8420372683249058,0.8701582910521785,0.8991507679040303,0.9281864821897445,0.9568457835365459,0.9761933232190856,0.9951169343301967,1.0146683011732303,1.0429587773637063,1.0713177059351349,1.0991820963672336,1.118154814621202,1.1475324187878684,1.175678956486281,1.2044853800973923,1.2323229923308379,1.2607172473813428,1.2802458188099144,1.308966252311598,1.3374755446396402,1.3565435009888465,1.3765562174390629,
0.4,3.4,7.3,0.0,3.4,3.49,3.39,14.1,10.7,7.28,1.0688,,0.021778343126780612,0.04400188225279686,0.06531378701470161,0.08672184257025715,0.10097564548031004,0.12285171029512484,0.14234153356588414,0.16430929976958783,0.1791700517537148,0.19422848429339734,0.21635887450503755,0.2388286951068894,0.2601405998687942,0.27486188169749787,0.289549707875949,0.3048610504685416,0.3266092647542559,0.3488555830964076,0.3703496637842383,0.39310595247762375,0.4154622024776237,0.43781664196175074,0.45915518362841745,0.48075491907815293,0.5006667568617598,0.5224430796130826,0.5367048388723418,0.5597480279749059,0.5743109744034773,0.5884591225516255,0.6160112215786185,0.6380909088297136,0.6593131310519358,0.6814323109461157,0.7030695331683379,0.7249894240413538,0.7395151184857982,0.7541922965161012,0.7684041715161012,0.7905755459749757,0.8133099798587443,0.835160310546575,0.8495091200703846,0.8712464712608609,0.8932035623102434,0.9162888236738798,0.937926045896102,0.959325119970176,0.9741439113061549,0.996287383528377,1.0179825224172658,1.0327987797272074,1.0475008167642443,
0.3,3.4,5.3,0.0,3.4,3.5,3.4,12.1,8.7,6.76,0.6616,,0.01253112125058355,0.02534935427527489,0.03800425506892567,0.0517543245133701,0.06000049886852882,0.07272559005820332,0.08577376741133634,0.0984989988928178,0.10687190935908764,0.11535547718015546,0.12797889111864752,0.14059318466171708,0.15331849630994537,0.16176641928974334,0.1701199146601137,0.17860362277298847,0.19118263222514895,0.20387243932391438,0.2164870936173447,0.2290354236437997,0.24172531090931193,0.25422482851843886,0.2669499998748602,0.2795689582081935,0.29323377769374037,0.3059587285916079,0.3143314185993239,0.32794697126136085,0.33643524156948407,0.34474863373769393,0.36267893021538444,0.37611491877747594,0.38948835864490017,0.40217838620221935,0.4147573956543798,0.4273123913579432,0.43579587901226413,0.44402687148911596,0.45239978195538577,0.46598557822412473,0.4786758262399977,0.49117568685596125,0.49962375012756616,0.5122298312822502,0.5249552832222855,0.537561416986397,0.5501253266560099,0.563710902466195,0.5720481680911951,0.5847027712657982,0.5973571539818474,0.6056988038134973,0.6141470875436561,
0.4,4.35,8.0,1.06,2.05,3.55,2.09,15.46,13.41,7.66,1.321,,0.026011407903439143,0.052212519014550235,0.07856401156444234,0.10497565152170728,0.12229630177423252,0.14828296844089917,0.17439630177423246,0.20096769867594186,0.21839692847392164,0.2358220042314974,0.26221600675674994,0.28877560325839413,0.31513800856142443,0.3323979570041854,0.3498462594733212,0.3674591761399879,0.39334101724844084,0.4197121891234408,0.4460447585678853,0.4721735653321087,0.49837457057686396,0.5249635699455508,0.551274542167773,0.5775016546538494,0.6037780457311137,0.6302611198848129,0.6477129957866887,0.6736195528042326,0.6910919906924313,0.7084716974825548,0.7434974383147901,0.7693945517106535,0.7953462878217645,0.8219666098033506,0.8484143592641388,0.8747742608358786,0.892250719169212,0.9097822637820066,0.927212038087562,0.9536432112026414,0.9795937036268837,1.0062854088737971,1.0238823764663898,1.0501004516627983,1.0762492617667618,1.102404732964244,1.128507848043609,1.1543949577221249,1.1716924640352562,1.1978942864258284,1.2242646823493493,1.2416908689965227,1.2591301745520782,
0.4,3.85,7.55,0.0,2.95,3.63,3.28,14.35,11.4,7.14,1.44,,0.02947403549382715,0.05753878132980009,0.08753177375404252,0.11743425691902565,0.13715016600993474,0.16574200102676973,0.19590791011767872,0.22579130658232516,0.24523852880454736,0.26540384265736117,0.2937802671587855,0.32359721791636115,0.35314273559312886,0.37071254379418705,0.38987577908830473,0.4094782096438603,0.43902461115901176,0.4682316138785145,0.4981415841166097,0.5276884591166097,0.5574523480054985,0.5872918591887596,0.6173664804008807,0.6467844096938099,0.6760571144196394,0.7056240651772151,0.725467815177215,0.7551594818438816,0.7746584897803895,0.7944212738712986,0.8343542315733187,0.8640417315733185,0.8929505068258438,0.9226739159167527,0.9527414664218031,0.9825548344773587,0.9972290769016011,1.017395951901601,1.037016622897272,1.0665988514326254,1.0961911133373874,1.1249712585394076,1.1446712585394077,1.1742593898525389,1.2038256927625917,1.233109062170961,1.2626121736428224,1.2922030827337314,1.3121773251579738,1.3421287140468627,1.3718528617741357,1.3915941812185801,1.4107097816675138,
0.4,4.65,7.35,0.0,2.15,3.55,3.4,14.15,12.0,6.79,1.392,,0.02971150793650788,0.058516046376462946,0.08622927238656394,0.11545292859147013,0.13548436798540942,0.16568517817059444,0.1950022236251399,0.22383474677328805,0.24393983936588054,0.26400511714365826,0.2936763911821198,0.3241869296020331,0.3539874256337791,0.3731731399194934,0.3923363752136111,0.4124003633088491,0.44237315371288943,0.47302980053828614,0.5026320732655588,0.5323502528290508,0.5617598172229902,0.5912786934856165,0.6209026518189498,0.6500180242936973,0.6749268362836532,0.7041931755693676,0.7235820644582565,0.7538335525534944,0.7739879424344467,0.7931792122757165,0.8265160966562449,0.8568237465680614,0.8871789549013946,0.9168866388840786,0.9468733055507453,0.9750170765945164,0.994647024511183,1.0141715036778496,1.0344114342334052,1.0645826147889608,1.094822480108826,1.1245893782569742,1.1441690657569743,1.174076531034752,1.2034567393680853,1.233494570055916,1.2627960085479792,1.2934075247516827,1.3121496543813125,1.3419769195929527,1.3715767908545886,1.3910067908545884,1.411114264399562,
0.4,4.35,8.0,1.06,2.05,3.56,2.1,15.46,13.41,7.66,1.321,,0.026011407903439143,0.052260846034752256,0.07861233858464436,0.1050239785419093,0.12234462879443454,0.14868724032642103,0.17480057365975432,0.20137197056146372,0.2188012003594435,0.23631423246622563,0.26270823499147816,0.28926783149312235,0.31563023679615265,0.3328901852389136,0.3504048765969383,0.368017793263605,0.39389963437205794,0.4202708062470579,0.4466033756915024,0.4727321824557258,0.49893318770048106,0.525522187069168,0.5518331592913902,0.5780602717774665,0.6043366628547309,0.6308197370084301,0.6481825610825042,0.6741487807984607,0.6916212186866595,0.709000925476783,0.7440266663090183,0.7701246824826595,0.7962052959085855,0.8227696379519,0.8492173874126882,0.875577288984428,0.8930537473177613,0.9105852919305559,0.9280150662361114,0.9545059020496035,0.9805047214940479,1.0070593221884925,1.0246562897810851,1.0508743649774936,1.0770231750814572,1.1031786462789392,1.1295005576546007,1.1553876673331165,1.1726592187851366,1.1988610411757088,1.2252314370992297,1.242657623746403,1.2600969293019586,
