Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-01-19,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,-0.001269093,0.696969943,100.7811505,-0.1
0.013,-0.000423031,0.662792783,100.6811505,0
0.026,-0.000423031,0.629836235,100.687339,-0.1
0.038,-0.000423031,0.530966594,100.674962,0.1
0.051,-0.000423031,0.463832887,100.7811505,-0.1
0.064,-0.001269093,0.364963245,100.774962,0
0.076,-0.001269093,0.26487299,100.687339,-0.1
0.089,-0.001269093,0.166003349,100.5573499,0.1
0.102,-0.002115155,0.133046802,100.6635384,-0.1
0.115,-0.002115155,0.133046802,100.7511614,0
0.127,-0.002115155,0.231916443,100.6573499,0
0.14,-0.002115155,0.364963245,100.7511614,0
0.153,-0.002115155,0.530966594,100.6154605,0.1
0.165,-0.002115155,0.662792783,100.621649,0
0.178,-0.002115155,0.762883037,100.621649,0
0.191,-0.002115155,0.828796131,100.7573499,-0.1
0.203,-0.002115155,0.862973292,100.7573499,-0.1
0.216,-0.002115155,0.862973292,100.7573499,-0.1
0.229,-0.002115155,0.795839584,100.6573499,0
0.242,-0.002115155,0.762883037,100.7511614,0
0.254,-0.002115155,0.696969943,100.6573499,0
0.267,-0.002115155,0.662792783,100.6511614,0.1
0.28,-0.002115155,0.629836235,100.6573499,0
0.292,-0.002115155,0.596879688,100.6511614,0.1
0.305,-0.002115155,0.596879688,100.6635384,-0.1
0.318,-0.002115155,0.563923141,100.6573499,0
0.33,-0.002115155,0.563923141,100.6278375,-0.1
0.343,-0.002115155,0.530966594,100.7511614,0
0.356,-0.002115155,0.530966594,100.6635384,-0.1
0.369,-0.002115155,0.530966594,100.6154605,0.1
0.381,-0.002115155,0.563923141,100.6278375,-0.1
0.394,-0.002115155,0.563923141,100.6511614,0.1
0.407,-0.002115155,0.596879688,100.721649,-0.1
0.419,-0.002115155,0.629836235,100.6573499,0
0.432,-0.002115155,0.629836235,100.6573499,0
0.445,-0.002115155,0.629836235,100.7511614,0
0.458,-0.002115155,0.662792783,100.7573499,-0.1
0.47,-0.002115155,0.662792783,100.7511614,0
0.483,-0.002115155,0.696969943,100.7511614,0
0.496,-0.002115155,0.696969943,100.7573499,-0.1
0.508,-0.002115155,0.72992649,100.6573499,0
0.521,-0.002115155,0.762883037,100.6573499,0
0.534,-0.002115155,0.795839584,100.6573499,0
0.546,-0.002115155,0.828796131,100.6573499,0
0.559,-0.001269093,0.828796131,100.6573499,0
0.572,-0.001269093,0.862973292,100.6511614,0.1
0.585,-0.002115155,0.895929839,100.7573499,-0.1
0.597,-0.002115155,0.895929839,100.7511614,0
0.61,-0.002115155,0.928886386,100.6573499,0
0.623,-0.002115155,0.961842933,100.7511614,0
0.635,-0.001269093,0.99479948,100.7573499,-0.1
0.648,-0.001269093,1.027756028,100.7511614,0
0.661,-0.001269093,1.061933188,100.6635384,-0.1
0.673,-0.001269093,1.061933188,100.6573499,0
0.686,-0.001269093,1.094889735,100.6573499,0
0.699,-0.002115155,1.127846282,100.7573499,-0.1
0.712,-0.002115155,1.127846282,100.6573499,0
0.724,-0.002115155,1.127846282,100.7511614,0
0.737,-0.002115155,1.127846282,100.7511614,0
0.75,-0.002115155,1.127846282,100.7573499,-0.1
0.762,-0.002115155,1.127846282,100.6511614,0.1
0.775,-0.002115155,1.127846282,100.7573499,-0.1
0.788,-0.002115155,1.094889735,100.6573499,0
0.801,-0.002115155,1.094889735,100.6635384,-0.1
0.813,-0.002115155,1.061933188,100.6511614,0.1
0.826,-0.002115155,1.061933188,100.6573499,0
0.839,-0.002115155,1.027756028,100.6511614,0.1
0.851,-0.002115155,1.027756028,100.6573499,0
0.864,-0.002115155,1.027756028,100.5573499,0.1
0.877,-0.002115155,1.027756028,100.6635384,-0.1
0.889,-0.001269093,0.99479948,100.621649,0
0.902,-0.001269093,0.99479948,100.7511614,0
0.915,-0.001269093,0.961842933,100.7511614,0
0.928,-0.001269093,0.961842933,100.7511614,0
0.94,-0.002115155,0.961842933,100.7573499,-0.1
0.953,-0.001269093,0.928886386,100.7511614,0
0.966,-0.001269093,0.928886386,100.6573499,0
0.978,-0.002115155,0.928886386,100.6573499,0
0.991,-0.002115155,0.895929839,100.6573499,0
1.004,-0.002115155,0.895929839,100.6573499,0
1.016,-0.002115155,0.862973292,100.6573499,0
1.029,-0.002115155,0.862973292,100.621649,0
1.042,-0.002115155,0.828796131,100.6154605,0.1
1.055,-0.002115155,0.795839584,100.621649,0
1.067,-0.002115155,0.795839584,100.6154605,0.1
1.08,-0.002115155,0.72992649,100.621649,0
1.093,-0.002115155,0.72992649,100.6154605,0.1
1.105,-0.002115155,0.696969943,100.6635384,-0.1
1.118,-0.002115155,0.662792783,100.621649,0
1.131,-0.002115155,0.629836235,100.6635384,-0.1
1.144,-0.002115155,0.596879688,100.6511614,0.1
1.156,-0.002115155,0.563923141,100.6573499,0
1.169,-0.002115155,0.530966594,100.6154605,0.1
1.182,-0.002115155,0.498010047,100.621649,0
1.194,-0.002115155,0.463832887,100.7154605,0
1.207,-0.002115155,0.430876339,100.6573499,0
1.22,-0.002115155,0.397919792,100.7511614,0
1.232,-0.002115155,0.397919792,100.6573499,0
1.245,-0.002115155,0.364963245,100.6511614,0.1
1.258,-0.001269093,0.332006698,100.621649,0
1.271,-0.002115155,0.332006698,100.621649,0
1.283,-0.002115155,0.299050151,100.6573499,0
1.296,-0.002115155,0.299050151,100.621649,0
1.309,-0.002115155,0.26487299,100.621649,0
1.321,-0.002115155,0.26487299,100.6154605,0.1
1.334,-0.002538186,0.231916443,100.621649,0
1.347,-0.002538186,0.231916443,100.6154605,0.1
1.359,-0.002115155,0.198959896,100.6635384,-0.1
1.372,-0.002115155,0.198959896,100.6154605,0.1
1.385,-0.002115155,0.198959896,100.5635384,0
1.398,-0.002115155,0.198959896,100.6573499,0
1.41,-0.002115155,0.198959896,100.6278375,-0.1
1.423,-0.002115155,0.198959896,100.6154605,0.1
1.436,-0.002538186,0.166003349,100.5278375,0
1.448,-0.002538186,0.166003349,100.6154605,0.1
1.461,-0.002115155,0.198959896,100.621649,0
1.474,-0.002115155,0.198959896,100.7154605,0
1.487,-0.002115155,0.231916443,100.6154605,0.1
1.499,-0.002115155,0.231916443,100.7154605,0
1.512,-0.002115155,0.26487299,100.621649,0
1.525,-0.002115155,0.299050151,100.621649,0
1.537,-0.002115155,0.299050151,100.621649,0
1.55,-0.002115155,0.299050151,100.621649,0
1.563,-0.002115155,0.332006698,100.6573499,0
1.575,-0.002115155,0.332006698,100.6573499,0
1.588,-0.002115155,0.364963245,100.6573499,0
1.601,-0.002115155,0.364963245,100.621649,0
1.614,-0.002115155,0.397919792,100.621649,0
1.626,-0.002115155,0.397919792,100.6154605,0.1
1.639,-0.002115155,0.430876339,100.621649,0
1.652,-0.002115155,0.430876339,100.6154605,0.1
1.664,-0.002115155,0.430876339,100.6278375,-0.1
1.677,-0.002115155,0.463832887,100.6154605,0.1
1.69,-0.002115155,0.463832887,100.5278375,0
1.702,-0.002115155,0.498010047,100.621649,0
1.715,-0.002115155,0.530966594,100.6278375,-0.1
1.728,-0.002115155,0.530966594,100.7154605,0
1.741,-0.002115155,0.530966594,100.7511614,0
1.753,-0.002115155,0.563923141,100.7511614,0
1.766,-0.002115155,0.563923141,100.7511614,0
1.779,-0.002115155,0.563923141,100.621649,0
1.791,-0.002115155,0.563923141,100.6573499,0
1.804,-0.002115155,0.563923141,100.6573499,0
1.817,-0.002115155,0.563923141,100.6573499,0
1.83,-0.002115155,0.563923141,100.621649,0
1.842,-0.002115155,0.530966594,100.6154605,0.1
1.855,-0.002115155,0.498010047,100.621649,0
1.868,-0.002115155,0.498010047,100.6154605,0.1
1.88,-0.002115155,0.498010047,100.621649,0
1.893,-0.002115155,0.498010047,100.621649,0
1.906,-0.002115155,0.463832887,100.621649,0
1.918,-0.002115155,0.463832887,100.621649,0
1.931,-0.002115155,0.430876339,100.6573499,0
1.944,-0.002115155,0.430876339,100.6278375,-0.1
1.957,-0.002115155,0.430876339,100.6573499,0
1.969,-0.002115155,0.430876339,100.6635384,-0.1
1.982,-0.002115155,0.430876339,100.7511614,0
1.995,-0.002115155,0.463832887,100.7573499,-0.1
2.007,-0.002115155,0.463832887,100.7154605,0
2.02,-0.002115155,0.498010047,100.621649,0
2.033,-0.002115155,0.498010047,100.621649,0
2.045,-0.002115155,0.498010047,100.621649,0
2.058,-0.002115155,0.530966594,100.6573499,0
2.071,-0.002115155,0.530966594,100.6573499,0
2.084,-0.002115155,0.530966594,100.6573499,0
2.096,-0.002115155,0.563923141,100.6573499,0
2.109,-0.002115155,0.596879688,100.6635384,-0.1
2.122,-0.002115155,0.596879688,100.6154605,0.1
2.134,-0.002115155,0.662792783,100.621649,0
2.147,-0.002115155,0.696969943,100.6154605,0.1
2.16,-0.002115155,0.762883037,100.621649,0
2.173,-0.002115155,0.795839584,100.521649,0.1
2.185,-0.002115155,0.862973292,100.6278375,-0.1
2.198,-0.002115155,0.895929839,100.6573499,0
2.211,-0.002115155,0.961842933,100.7573499,-0.1
2.223,-0.002115155,1.027756028,100.7511614,0
2.236,-0.002115155,1.094889735,100.7511614,0
2.249,-0.002115155,1.127846282,100.7511614,0
2.261,-0.002115155,1.226715924,100.7511614,0
2.274,-0.002115155,1.293849631,100.6573499,0
2.287,-0.001269093,1.359762725,100.6573499,0
2.3,-0.001269093,1.426896432,100.6573499,0
2.312,-0.001269093,1.525766074,100.6573499,0
2.325,-0.002115155,1.558722621,100.6573499,0
2.338,-0.002115155,1.625856329,100.7573499,-0.1
2.35,-0.002115155,1.691769423,100.6511614,0.1
2.363,-0.001269093,1.757682517,100.6573499,0
2.376,-0.001269093,1.757682517,100.6511614,0.1
2.388,-0.001269093,1.790639065,100.6635384,-0.1
2.401,-0.001269093,1.790639065,100.5573499,0.1
2.414,-0.001269093,1.72472597,100.6635384,-0.1
2.427,-0.001269093,1.658812876,100.6511614,0.1
2.439,-0.001269093,1.591679168,100.6635384,-0.1
2.452,-0.001269093,1.525766074,100.6511614,0.1
2.465,-0.001269093,1.426896432,100.6573499,0
2.477,-0.001269093,1.326806178,100.6511614,0.1
2.49,-0.001269093,1.193759376,100.621649,0
2.503,-0.001269093,1.094889735,100.621649,0
2.516,-0.002115155,0.961842933,100.4278375,0.1
2.528,-0.002115155,0.862973292,100.521649,0.1
2.541,-0.002115155,0.72992649,100.6154605,0.1
2.554,-0.002115155,0.629836235,100.721649,-0.1
2.566,-0.002115155,0.498010047,100.6154605,0.1
2.579,-0.002115155,0.364963245,100.621649,0
2.592,-0.002115155,0.26487299,100.621649,0
2.604,-0.002115155,0.133046802,100.621649,0
2.617,-0.002115155,0.032956547,100.621649,0
2.63,-0.002538186,-0.100090254,100.621649,0
2.643,-0.002115155,-0.198959896,100.4859481,0.1
2.655,-0.002115155,-0.26487299,100.4797596,0.2
2.668,-0.002538186,-0.364963245,100.4859481,0.1
2.681,-0.003384249,-0.463832887,100.4559591,0.2
2.693,-0.003384249,-0.563923141,100.3683361,0.1
2.706,-0.003384249,-0.662792783,100.3621476,0.2
2.719,-0.003384249,-0.72992649,100.3683361,0.1
2.731,-0.003384249,-0.828796131,100.4559591,0.2
2.744,-0.003384249,-0.895929839,100.4621476,0.1
2.757,-0.003384249,-0.961842933,100.4559591,0.2
2.77,-0.003384249,-0.99479948,100.3264467,0.2
2.782,-0.003384249,-1.027756028,100.3264467,0.2
2.795,-0.00380728,-0.99479948,100.4264467,0.1
2.808,-0.00380728,-0.961842933,100.4264467,0.1
2.82,-0.00380728,-0.862973292,100.4202582,0.2
2.833,-0.00380728,-0.795839584,100.4264467,0.1
2.846,-0.00380728,-0.72992649,100.4202582,0.2
2.859,-0.003384249,-0.629836235,100.4264467,0.1
2.871,-0.003384249,-0.530966594,100.4202582,0.2
2.884,-0.00380728,-0.430876339,100.4326352,0
2.897,-0.00380728,-0.299050151,100.4264467,0.1
2.909,-0.00380728,-0.198959896,100.4264467,0.1
2.922,-0.003384249,-0.100090254,100.4264467,0.1
2.935,-0.00380728,0,100.4264467,0.1
2.947,-0.003384249,0.100090254,100.4264467,0.1
2.96,-0.00380728,0.231916443,100.5621476,0
2.973,-0.00380728,0.332006698,100.4264467,0.1
2.986,-0.00380728,0.463832887,100.4264467,0.1
2.998,-0.003384249,0.596879688,100.4621476,0.1
