Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-07-09,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.000424498,-2.388739366,103.1675907,0.1
0.013,0.000424498,-2.354562206,103.1675907,0.1
0.026,0.000424498,-2.288649111,103.1675907,0.1
0.038,0.000424498,-2.155602309,103.1675907,0.1
0.051,0,-1.956642413,103.1032915,0.2
0.064,0,-1.857772772,103.1032915,0.2
0.076,0,-1.857772772,103.2032915,0.1
0.089,0,-1.989598961,103.1614022,0.2
0.102,0,-2.18977947,103.2614022,0.1
0.115,0,-2.388739366,103.2675907,0
0.127,0,-2.520565554,103.2614022,0.1
0.14,0.000424498,-2.620655809,103.2675907,0
0.153,0.000424498,-2.653612356,103.2614022,0.1
0.165,0.000424498,-2.620655809,103.2318898,0
0.178,0.000424498,-2.553522102,103.2257013,0.1
0.191,0.000424498,-2.487609007,103.2318898,0
0.203,0.000424498,-2.421695913,103.1257013,0.2
0.216,0,-2.388739366,103.1318898,0.1
0.229,0.000424498,-2.354562206,103.1257013,0.2
0.242,0.000424498,-2.388739366,103.1318898,0.1
0.254,0.000424498,-2.421695913,103.1257013,0.2
0.267,0,-2.421695913,103.1318898,0.1
0.28,0.000424498,-2.45465246,103.1257013,0.2
0.292,0,-2.487609007,103.1318898,0.1
0.305,0,-2.487609007,103.1318898,0.1
0.318,0,-2.45465246,103.1318898,0.1
0.33,0.000424498,-2.45465246,103.1737792,0
0.343,0,-2.421695913,103.1318898,0.1
0.356,0.000424498,-2.421695913,103.1675907,0.1
0.369,0.000424498,-2.421695913,103.1318898,0.1
0.381,0.000424498,-2.421695913,103.1380783,0
0.394,0,-2.421695913,103.1257013,0.2
0.407,0.000424498,-2.421695913,103.1737792,0
0.419,0,-2.421695913,103.1614022,0.2
0.432,0.000424498,-2.421695913,103.1737792,0
0.445,0,-2.45465246,103.1675907,0.1
0.458,0,-2.45465246,103.1737792,0
