Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-07-05,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.001281247,-2.421695913,103.682023,-0.4
0.013,0.001281247,-2.421695913,103.6996351,-0.3
0.026,0.001281247,-2.45465246,103.682023,-0.4
0.038,0.000427082,-2.553522102,103.6758345,-0.3
0.051,0.000427082,-2.686568903,103.6401336,-0.3
0.064,0.000427082,-2.819615705,103.6401336,-0.3
0.076,0.000427082,-2.918485347,103.6044328,-0.3
0.089,0.000427082,-2.918485347,103.6044328,-0.3
0.102,0.000427082,-2.852572252,103.6044328,-0.3
0.115,0.000427082,-2.819615705,103.6044328,-0.3
0.127,0.000427082,-2.71952545,103.6044328,-0.3
0.14,0.001281247,-2.653612356,103.6044328,-0.3
0.153,0.001281247,-2.587699262,103.6044328,-0.3
0.165,0.001281247,-2.553522102,103.5982442,-0.2
0.178,0.001281247,-2.520565554,103.5982442,-0.2
0.191,0.001281247,-2.487609007,103.5982442,-0.2
0.203,0.001281247,-2.487609007,103.6982442,-0.3
0.216,0.000427082,-2.45465246,103.5982442,-0.2
0.229,0.001281247,-2.45465246,103.7044328,-0.4
0.242,0.001281247,-2.45465246,103.7339451,-0.3
0.254,0.001281247,-2.487609007,103.7339451,-0.3
0.267,0.000427082,-2.487609007,103.7339451,-0.3
0.28,0.001281247,-2.487609007,103.7401336,-0.4
0.292,0.001281247,-2.520565554,103.6339451,-0.2
0.305,0.001281247,-2.520565554,103.6044328,-0.3
0.318,0.000427082,-2.520565554,103.5982442,-0.2
0.33,0.000427082,-2.520565554,103.6044328,-0.3
0.343,0.000427082,-2.487609007,103.5982442,-0.2
0.356,0.000427082,-2.487609007,103.6044328,-0.3
