Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-01-16,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.000898449,-0.032956547,99.48879959,-0.7
0.013,0.000898449,-0.032956547,99.38261108,-0.5
0.026,0.000898449,0,99.38879959,-0.6
0.038,0.000898449,0.032956547,99.47642258,-0.5
0.051,0.000898449,0.100090254,99.48879959,-0.7
0.064,0.000898449,0.166003349,99.37642258,-0.4
0.076,0.000898449,0.198959896,99.58261108,-0.7
0.089,0.000898449,0.231916443,99.57642258,-0.6
0.102,0.000898449,0.231916443,99.48261108,-0.6
0.115,0.001347674,0.231916443,99.38261108,-0.5
0.127,0.000898449,0.231916443,99.38879959,-0.6
0.14,0.000898449,0.198959896,99.48261108,-0.6
0.153,0.000898449,0.166003349,99.48261108,-0.6
0.165,0.000898449,0.166003349,99.48261108,-0.6
0.178,0.001347674,0.166003349,99.48261108,-0.6
0.191,0.000898449,0.133046802,99.48261108,-0.6
0.203,0.000898449,0.133046802,99.38879959,-0.6
0.216,0.000898449,0.133046802,99.48261108,-0.6
0.229,0.000898449,0.100090254,99.48261108,-0.6
0.242,0.000898449,0.100090254,99.38261108,-0.5
0.254,0.000898449,0.100090254,99.48261108,-0.6
0.267,0.000898449,0.065913094,99.47642258,-0.5
0.28,0.000898449,0.065913094,99.48261108,-0.6
0.292,0.000898449,0.065913094,99.48261108,-0.6
0.305,0.000898449,0.065913094,99.38879959,-0.6
0.318,0.000898449,0.032956547,99.38261108,-0.5
0.33,0.000898449,0.032956547,99.48879959,-0.7
0.343,0.000898449,0.032956547,99.48261108,-0.6
0.356,0.000898449,0.032956547,99.48261108,-0.6
0.369,0.000898449,0.032956547,99.48261108,-0.6
0.381,0.000898449,0,99.48261108,-0.6
0.394,0.000898449,0,99.48261108,-0.6
0.407,0.000898449,0,99.48261108,-0.6
0.419,0.000898449,0,99.48261108,-0.6
0.432,0.000898449,0,99.38879959,-0.6
0.445,0.000898449,0.032956547,99.48261108,-0.6
0.458,0.000898449,0.032956547,99.48261108,-0.6
0.47,0.000898449,0.032956547,99.48261108,-0.6
0.483,0.000898449,0.032956547,99.38261108,-0.5
0.496,0.000898449,0.032956547,99.38879959,-0.6
0.508,0.000898449,0.032956547,99.38261108,-0.5
0.521,0.000898449,0.032956547,99.48879959,-0.7
0.534,0.000898449,0.032956547,99.38261108,-0.5
0.546,0.000898449,0,99.48879959,-0.7
0.559,0.000898449,0,99.47642258,-0.5
0.572,0.000898449,0.032956547,99.48879959,-0.7
