Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-03-08,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,0.133046802,100.7190383,-0.2
0.013,0,0.100090254,100.7252268,-0.3
0.026,0,0.133046802,100.7128498,-0.1
0.038,0,0.133046802,100.7252268,-0.3
0.051,-0.000856848,0.231916443,100.7190383,-0.2
0.064,-0.000856848,0.299050151,100.7252268,-0.3
0.076,-0.000856848,0.332006698,100.7190383,-0.2
0.089,-0.000856848,0.364963245,100.7252268,-0.3
0.102,-0.000856848,0.397919792,100.7190383,-0.2
0.115,0,0.463832887,100.7252268,-0.3
0.127,0,0.530966594,100.7190383,-0.2
0.14,0,0.563923141,100.7252268,-0.3
0.153,0,0.596879688,100.7190383,-0.2
0.165,-0.000856848,0.596879688,100.7190383,-0.2
0.178,0,0.596879688,100.7190383,-0.2
0.191,0,0.596879688,100.7190383,-0.2
0.203,0,0.596879688,100.7252268,-0.3
0.216,0,0.563923141,100.7190383,-0.2
0.229,0,0.563923141,100.7252268,-0.3
0.242,-0.000856848,0.563923141,100.7190383,-0.2
0.254,0,0.530966594,100.7190383,-0.2
0.267,-0.000856848,0.530966594,100.7190383,-0.2
0.28,-0.000856848,0.498010047,100.7190383,-0.2
0.292,-0.000856848,0.498010047,100.7190383,-0.2
0.305,-0.000856848,0.498010047,100.7190383,-0.2
0.318,-0.000856848,0.498010047,100.7252268,-0.3
0.33,-0.000856848,0.498010047,100.7190383,-0.2
0.343,-0.000856848,0.498010047,100.7252268,-0.3
0.356,-0.000856848,0.498010047,100.7190383,-0.2
0.369,0,0.498010047,100.7252268,-0.3
0.381,0,0.498010047,100.7190383,-0.2
0.394,0,0.498010047,100.7190383,-0.2
0.407,0,0.498010047,100.7190383,-0.2
0.419,0,0.498010047,100.7190383,-0.2
0.432,0,0.498010047,100.7252268,-0.3
0.445,-0.000856848,0.463832887,100.7190383,-0.2
0.458,0,0.463832887,100.7252268,-0.3
0.47,-0.000856848,0.463832887,100.7190383,-0.2
0.483,0,0.463832887,100.7252268,-0.3
0.496,0,0.430876339,100.7128498,-0.1
0.508,-0.000856848,0.430876339,100.7252268,-0.3
0.521,0,0.430876339,100.7190383,-0.2
0.534,0,0.430876339,100.7252268,-0.3
0.546,-0.000856848,0.430876339,100.7190383,-0.2
0.559,-0.000856848,0.430876339,100.7252268,-0.3
0.572,-0.000856848,0.430876339,100.7190383,-0.2
