Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-01-30,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.000426564,0.498010047,101.1979182,-0.3
0.013,0.000426564,0.498010047,101.1102952,-0.4
0.026,0.000426564,0.463832887,101.1979182,-0.3
0.038,0.000426564,0.463832887,101.2102952,-0.5
0.051,0.000426564,0.498010047,101.1979182,-0.3
0.064,0.000426564,0.498010047,101.1102952,-0.4
0.076,0.000426564,0.530966594,101.0622173,-0.2
0.089,0.000426564,0.530966594,101.1102952,-0.4
0.102,0,0.530966594,101.0979182,-0.2
0.115,0.000426564,0.530966594,101.2041067,-0.4
0.127,0.000426564,0.530966594,101.0979182,-0.2
0.14,0.000426564,0.530966594,101.2041067,-0.4
0.153,0.000426564,0.563923141,101.1979182,-0.3
0.165,0.000426564,0.563923141,101.1979182,-0.3
0.178,0.000426564,0.563923141,101.2041067,-0.4
0.191,0.000426564,0.563923141,101.1041067,-0.3
0.203,0.000426564,0.563923141,101.1041067,-0.3
0.216,0.000426564,0.563923141,101.1041067,-0.3
0.229,0.000426564,0.563923141,101.1041067,-0.3
0.242,0,0.596879688,101.1041067,-0.3
0.254,0.000426564,0.596879688,101.1041067,-0.3
0.267,0.000426564,0.596879688,101.0979182,-0.2
0.28,0.000426564,0.596879688,101.2041067,-0.4
0.292,0.000426564,0.596879688,101.1979182,-0.3
0.305,0.000426564,0.596879688,101.1979182,-0.3
0.318,0.000426564,0.596879688,101.2041067,-0.4
0.33,0.000426564,0.596879688,101.2041067,-0.4
0.343,0.000426564,0.596879688,101.1041067,-0.3
0.356,0.000426564,0.596879688,101.1041067,-0.3
0.369,0.000426564,0.596879688,101.1041067,-0.3
0.381,0.000426564,0.596879688,101.2041067,-0.4
0.394,0.000426564,0.596879688,101.1041067,-0.3
0.407,0.000426564,0.596879688,101.2041067,-0.4
0.419,0.000426564,0.596879688,101.2041067,-0.4
0.432,0.000426564,0.596879688,101.1979182,-0.3
0.445,0.000426564,0.596879688,101.1041067,-0.3
0.458,0.000426564,0.596879688,101.2041067,-0.4
0.47,0.000426564,0.563923141,101.0041067,-0.2
0.483,0.000426564,0.563923141,101.2041067,-0.4
0.496,0.000426564,0.563923141,101.0979182,-0.2
0.508,0.000426564,0.563923141,101.2041067,-0.4
0.521,0,0.563923141,101.1041067,-0.3
0.534,0,0.563923141,101.2041067,-0.4
0.546,0,0.563923141,101.1979182,-0.3
0.559,0,0.563923141,101.2041067,-0.4
0.572,0,0.530966594,101.1979182,-0.3
0.585,0.000426564,0.530966594,101.1102952,-0.4
0.597,0.000426564,0.563923141,101.0979182,-0.2
0.61,0,0.563923141,101.2041067,-0.4
0.623,0,0.563923141,101.1979182,-0.3
0.635,0,0.530966594,101.1041067,-0.3
0.648,0,0.563923141,101.2041067,-0.4
0.661,0,0.563923141,101.1041067,-0.3
0.673,0.000426564,0.563923141,101.1041067,-0.3
0.686,0.000426564,0.563923141,101.1041067,-0.3
0.699,0.000426564,0.530966594,101.1979182,-0.3
0.712,0,0.563923141,101.1979182,-0.3
0.724,0.000426564,0.563923141,101.1102952,-0.4
0.737,0.000426564,0.530966594,101.1041067,-0.3
0.75,0.000426564,0.530966594,101.0102952,-0.3
0.762,0,0.530966594,101.1979182,-0.3
0.775,0,0.530966594,101.1041067,-0.3
0.788,0,0.530966594,101.1979182,-0.3
0.801,0.000426564,0.530966594,101.2041067,-0.4
0.813,0.000426564,0.530966594,101.1979182,-0.3
0.826,0.000426564,0.530966594,101.2041067,-0.4
0.839,0.000426564,0.530966594,101.0979182,-0.2
0.851,0.000426564,0.530966594,101.2041067,-0.4
0.864,0.000426564,0.498010047,101.1041067,-0.3
0.877,0,0.498010047,101.1102952,-0.4
0.889,0,0.498010047,101.1041067,-0.3
0.902,0.000426564,0.498010047,101.1979182,-0.3
0.915,0.000426564,0.530966594,101.1684058,-0.4
0.928,0,0.530966594,101.1622173,-0.3
0.94,0,0.530966594,101.1684058,-0.4
0.953,0,0.530966594,101.1622173,-0.3
0.966,0.000426564,0.530966594,101.2102952,-0.5
0.978,0,0.530966594,101.1041067,-0.3
0.991,0,0.530966594,101.0745944,-0.4
1.004,0.000426564,0.530966594,101.0684058,-0.3
1.016,0.000426564,0.530966594,101.0684058,-0.3
1.029,0.000426564,0.530966594,101.0684058,-0.3
1.042,0.000426564,0.530966594,101.1684058,-0.4
1.055,0.000426564,0.530966594,101.1979182,-0.3
1.067,0.000426564,0.563923141,101.1979182,-0.3
1.08,0.000426564,0.563923141,101.1684058,-0.4
1.093,0.000426564,0.563923141,101.1684058,-0.4
1.105,0.000426564,0.563923141,101.0684058,-0.3
1.118,0,0.563923141,101.1684058,-0.4
1.131,0,0.563923141,101.0684058,-0.3
1.144,0,0.563923141,101.1684058,-0.4
1.156,0.000426564,0.563923141,100.9684058,-0.2
1.169,0.000426564,0.596879688,101.1684058,-0.4
1.182,0.000426564,0.596879688,101.0622173,-0.2
1.194,0.000426564,0.596879688,101.1684058,-0.4
1.207,0.000426564,0.596879688,101.0622173,-0.2
1.22,0.000426564,0.596879688,101.2684058,-0.5
1.232,0.000426564,0.596879688,101.0622173,-0.2
1.245,0,0.596879688,101.2102952,-0.5
1.258,0,0.596879688,101.0622173,-0.2
1.271,0.000426564,0.596879688,101.1745944,-0.5
1.283,0,0.596879688,101.1622173,-0.3
1.296,0,0.596879688,101.1102952,-0.4
1.309,0.000426564,0.596879688,101.0622173,-0.2
1.321,0.000426564,0.596879688,101.1684058,-0.4
1.334,0.000426564,0.596879688,101.1622173,-0.3
1.347,0.000426564,0.596879688,101.1684058,-0.4
1.359,0.000426564,0.596879688,101.1684058,-0.4
1.372,0.000426564,0.596879688,101.0745944,-0.4
1.385,0,0.596879688,101.0684058,-0.3
1.398,0,0.596879688,101.0684058,-0.3
1.41,0.000426564,0.596879688,101.0684058,-0.3
1.423,0.000426564,0.596879688,101.1622173,-0.3
1.436,0.000426564,0.596879688,101.0745944,-0.4
1.448,0.000426564,0.596879688,101.0684058,-0.3
1.461,0.000426564,0.596879688,101.0745944,-0.4
1.474,0,0.596879688,101.0622173,-0.2
1.487,0,0.596879688,101.1684058,-0.4
1.499,0,0.563923141,101.1622173,-0.3
1.512,0,0.563923141,101.1684058,-0.4
1.525,0,0.563923141,101.0684058,-0.3
1.537,0,0.596879688,101.0745944,-0.4
1.55,0.000426564,0.563923141,101.1979182,-0.3
1.563,0.000426564,0.563923141,101.1684058,-0.4
1.575,0.000426564,0.563923141,101.0622173,-0.2
1.588,0.000426564,0.563923141,101.1684058,-0.4
1.601,0.000426564,0.563923141,101.0684058,-0.3
1.614,0,0.596879688,101.1684058,-0.4
1.626,0.000426564,0.596879688,101.0684058,-0.3
1.639,0.000426564,0.563923141,101.1684058,-0.4
1.652,0.000426564,0.563923141,101.0684058,-0.3
1.664,0.000426564,0.563923141,101.1102952,-0.4
1.677,0.000426564,0.563923141,100.9745944,-0.3
1.69,0,0.563923141,101.0745944,-0.4
1.702,0.000426564,0.563923141,101.0684058,-0.3
1.715,0,0.563923141,101.1684058,-0.4
1.728,0,0.563923141,101.1684058,-0.4
1.741,0,0.563923141,101.1684058,-0.4
1.753,0.000426564,0.530966594,101.1622173,-0.3
1.766,0.000426564,0.530966594,101.1684058,-0.4
1.779,0.000426564,0.530966594,101.1622173,-0.3
1.791,0.000426564,0.530966594,101.1745944,-0.5
1.804,0.000426564,0.530966594,101.1622173,-0.3
1.817,0.000426564,0.530966594,101.1684058,-0.4
1.83,0.000426564,0.530966594,101.1622173,-0.3
1.842,0.000426564,0.530966594,101.2041067,-0.4
1.855,0,0.530966594,101.1979182,-0.3
1.868,0.000426564,0.498010047,101.1684058,-0.4
1.88,0,0.498010047,101.0684058,-0.3
1.893,0,0.498010047,101.0684058,-0.3
1.906,0.000426564,0.498010047,101.0684058,-0.3
1.918,0.000426564,0.498010047,101.1041067,-0.3
1.931,0.000426564,0.498010047,101.2041067,-0.4
1.944,0.000426564,0.498010047,101.1622173,-0.3
1.957,0.000426564,0.498010047,101.1684058,-0.4
1.969,0,0.498010047,101.1622173,-0.3
1.982,0.000426564,0.498010047,101.0745944,-0.4
1.995,0,0.498010047,101.0684058,-0.3
2.007,0.000426564,0.498010047,101.1102952,-0.4
2.02,0.000426564,0.463832887,101.0979182,-0.2
2.033,0,0.463832887,101.2041067,-0.4
2.045,0,0.463832887,101.1622173,-0.3
2.058,0.000426564,0.498010047,101.1684058,-0.4
2.071,0.000426564,0.463832887,101.1979182,-0.3
2.084,0.000426564,0.498010047,101.2041067,-0.4
2.096,0.000426564,0.463832887,101.2041067,-0.4
2.109,0,0.463832887,101.1684058,-0.4
2.122,0,0.463832887,101.1684058,-0.4
2.134,0,0.463832887,101.1622173,-0.3
2.147,0.000426564,0.463832887,101.0745944,-0.4
2.16,0.000426564,0.463832887,101.0684058,-0.3
2.173,0.000426564,0.463832887,101.0745944,-0.4
2.185,0.000426564,0.498010047,101.0684058,-0.3
2.198,0.000426564,0.463832887,101.0745944,-0.4
2.211,0,0.498010047,101.1622173,-0.3
2.223,0.000426564,0.498010047,101.1684058,-0.4
2.236,0.000426564,0.498010047,101.1560288,-0.2
2.249,0.000426564,0.530966594,101.1684058,-0.4
2.261,0.000426564,0.530966594,101.1979182,-0.3
2.274,0.000426564,0.530966594,101.0684058,-0.3
2.287,0,0.530966594,101.1622173,-0.3
2.3,0,0.563923141,101.0684058,-0.3
2.312,0.000426564,0.563923141,101.1622173,-0.3
2.325,0,0.563923141,101.1684058,-0.4
2.338,0,0.563923141,101.1622173,-0.3
2.35,0,0.563923141,101.0684058,-0.3
2.363,0,0.596879688,101.1684058,-0.4
2.376,0.000426564,0.596879688,101.0684058,-0.3
2.388,0.000426564,0.596879688,101.1979182,-0.3
2.401,0.000426564,0.596879688,101.2041067,-0.4
2.414,0.000426564,0.596879688,101.1041067,-0.3
2.427,0.000426564,0.596879688,100.9745944,-0.3
