Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-09-23,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,0.032956547,99.89874669,0
0.013,-0.000429326,0,99.9049352,-0.1
0.026,-0.000429326,-0.032956547,99.89874669,0
0.038,-0.000429326,-0.100090254,99.86923433,-0.1
0.051,-0.000429326,-0.231916443,99.86304582,0
0.064,0,-0.364963245,99.86304582,0
0.076,-0.000429326,-0.463832887,99.86923433,-0.1
0.089,-0.000429326,-0.563923141,99.86304582,0
0.102,0,-0.629836235,99.86923433,-0.1
0.115,0,-0.629836235,99.86304582,0
0.127,0,-0.596879688,99.87542283,-0.2
0.14,0,-0.530966594,99.86304582,0
0.153,0,-0.463832887,99.87542283,-0.2
0.165,0,-0.397919792,99.86304582,0
0.178,0,-0.332006698,99.86923433,-0.1
0.191,0,-0.299050151,99.86304582,0
0.203,0,-0.26487299,99.86923433,-0.1
0.216,0,-0.231916443,99.86923433,-0.1
0.229,0,-0.198959896,99.86923433,-0.1
0.242,0,-0.198959896,99.86923433,-0.1
0.254,-0.000429326,-0.166003349,99.76923433,0
0.267,0,-0.166003349,99.76923433,0
0.28,0,-0.166003349,99.76923433,0
0.292,0,-0.198959896,99.77542283,-0.1
0.305,0,-0.198959896,99.86923433,-0.1
0.318,0,-0.231916443,99.86923433,-0.1
0.33,0,-0.231916443,99.86304582,0
0.343,0,-0.26487299,99.86923433,-0.1
0.356,0,-0.26487299,99.95685731,0
0.369,0,-0.26487299,99.96923433,-0.2
0.381,-0.000429326,-0.299050151,99.95685731,0
0.394,0,-0.26487299,99.96304582,-0.1
0.407,0,-0.26487299,99.86304582,0
0.419,0,-0.26487299,99.9049352,-0.1
0.432,-0.000429326,-0.26487299,99.9049352,-0.1
0.445,-0.000429326,-0.26487299,99.76923433,0
0.458,0,-0.231916443,99.77542283,-0.1
0.47,0,-0.231916443,99.76304582,0.1
0.483,0,-0.231916443,99.77542283,-0.1
0.496,0,-0.231916443,99.86304582,0
0.508,0,-0.231916443,99.87542283,-0.2
0.521,-0.000429326,-0.231916443,99.86304582,0
0.534,0,-0.26487299,99.87542283,-0.2
0.546,0,-0.231916443,99.76304582,0.1
0.559,0,-0.231916443,99.77542283,-0.1
0.572,0,-0.231916443,99.76304582,0.1
0.585,0,-0.231916443,99.77542283,-0.1
0.597,0,-0.231916443,99.76923433,0
0.61,0,-0.231916443,99.77542283,-0.1
0.623,0,-0.231916443,99.76923433,0
0.635,0,-0.198959896,99.76923433,0
0.648,0,-0.198959896,99.76923433,0
0.661,0,-0.166003349,99.76923433,0
0.673,0,-0.166003349,99.76923433,0
0.686,-0.000429326,-0.166003349,99.76923433,0
0.699,0,-0.166003349,99.86923433,-0.1
0.712,0,-0.166003349,99.86304582,0
0.724,0,-0.166003349,100.0049352,-0.2
0.737,0,-0.133046802,99.86304582,0
0.75,0,-0.133046802,99.87542283,-0.2
0.762,0,-0.133046802,99.86304582,0
0.775,0,-0.133046802,99.86923433,-0.1
0.788,0,-0.166003349,99.86304582,0
0.801,0,-0.166003349,99.86923433,-0.1
0.813,0,-0.166003349,99.86923433,-0.1
0.826,0,-0.166003349,99.86923433,-0.1
0.839,0,-0.166003349,99.86923433,-0.1
0.851,0,-0.166003349,99.86304582,0
0.864,0,-0.166003349,99.86923433,-0.1
0.877,0,-0.133046802,99.86304582,0
0.889,0,-0.166003349,99.87542283,-0.2
0.902,0,-0.166003349,99.86923433,-0.1
0.915,0,-0.166003349,99.87542283,-0.2
0.928,0,-0.133046802,99.86304582,0
0.94,0,-0.133046802,99.86923433,-0.1
0.953,0,-0.100090254,99.86304582,0
0.966,0,-0.100090254,99.86923433,-0.1
0.978,-0.000429326,-0.100090254,99.86923433,-0.1
0.991,0,-0.100090254,99.76923433,0
1.004,-0.000429326,-0.065913094,99.8049352,0
1.016,0,-0.065913094,99.8049352,0
1.029,0,-0.065913094,99.76923433,0
1.042,0,-0.032956547,99.76923433,0
1.055,0,-0.032956547,99.87542283,-0.2
1.067,0,-0.032956547,99.8049352,0
1.08,0,-0.032956547,99.81112371,-0.1
1.093,0,-0.032956547,99.79874669,0.1
1.105,0,-0.032956547,99.81112371,-0.1
1.118,0,-0.032956547,99.79874669,0.1
1.131,0,-0.032956547,99.81112371,-0.1
1.144,0,0,99.89255819,0.1
1.156,0,0,100.0049352,-0.2
1.169,0,0,99.89874669,0
1.182,0,-0.032956547,99.9049352,-0.1
1.194,0,-0.032956547,99.9049352,-0.1
1.207,0,-0.032956547,99.9049352,-0.1
1.22,0,-0.032956547,99.9049352,-0.1
1.232,0,-0.032956547,99.89874669,0
1.245,0,-0.032956547,99.9049352,-0.1
1.258,0,-0.032956547,99.89874669,0
1.271,0,-0.032956547,99.86923433,-0.1
1.283,-0.000429326,-0.032956547,99.86304582,0
1.296,-0.000429326,0,99.87542283,-0.2
1.309,-0.000429326,0,99.89874669,0
1.321,0,0,99.91112371,-0.2
1.334,0,0,99.89874669,0
1.347,0,-0.032956547,99.87542283,-0.2
1.359,0,-0.032956547,99.76923433,0
1.372,-0.000429326,-0.032956547,99.77542283,-0.1
1.385,-0.000429326,0,99.76923433,0
1.398,-0.000429326,0,99.81112371,-0.1
1.41,0,-0.032956547,99.76923433,0
1.423,0,-0.032956547,99.76923433,0
1.436,0,-0.032956547,99.76923433,0
1.448,0,-0.065913094,99.86304582,0
1.461,0,-0.065913094,99.86923433,-0.1
1.474,0,-0.065913094,99.86304582,0
1.487,0,-0.065913094,99.86923433,-0.1
1.499,-0.000429326,-0.100090254,99.96304582,-0.1
1.512,0,-0.133046802,100.0049352,-0.2
1.525,0,-0.133046802,99.99255819,0
1.537,0,-0.166003349,99.96923433,-0.2
1.55,0,-0.198959896,99.86304582,0
1.563,0,-0.198959896,99.86923433,-0.1
1.575,0,-0.231916443,99.86923433,-0.1
1.588,0,-0.231916443,99.76923433,0
1.601,0,-0.198959896,99.86923433,-0.1
1.614,-0.000429326,-0.198959896,99.86304582,0
1.626,-0.000429326,-0.198959896,99.86923433,-0.1
1.639,-0.000429326,-0.166003349,99.86304582,0
1.652,-0.000429326,-0.166003349,99.86923433,-0.1
1.664,-0.000429326,-0.133046802,99.86304582,0
1.677,0,-0.133046802,99.87542283,-0.2
1.69,0,-0.133046802,99.86304582,0
1.702,0,-0.100090254,99.87542283,-0.2
1.715,0,-0.100090254,99.86304582,0
1.728,0,-0.100090254,99.77542283,-0.1
1.741,0,-0.100090254,99.79874669,0.1
1.753,0,-0.100090254,99.81112371,-0.1
1.766,0,-0.065913094,99.76923433,0
1.779,0,-0.065913094,99.81112371,-0.1
1.791,0,-0.100090254,99.8049352,0
1.804,0,-0.100090254,99.86923433,-0.1
1.817,0,-0.133046802,99.86304582,0
1.83,0,-0.133046802,99.86304582,0
1.842,0,-0.166003349,99.96304582,-0.1
1.855,0,-0.198959896,99.96304582,-0.1
1.868,0,-0.198959896,99.96923433,-0.2
1.88,-0.000429326,-0.231916443,99.95685731,0
1.893,0,-0.198959896,99.86923433,-0.1
1.906,0,-0.198959896,99.86304582,0
1.918,0,-0.198959896,99.86923433,-0.1
1.931,0,-0.198959896,99.86304582,0
1.944,0,-0.198959896,99.87542283,-0.2
1.957,0,-0.198959896,99.76304582,0.1
1.969,0,-0.198959896,99.91112371,-0.2
1.982,0,-0.198959896,99.79874669,0.1
1.995,0,-0.166003349,99.86923433,-0.1
2.007,0,-0.166003349,99.76923433,0
2.02,0,-0.133046802,99.76923433,0
2.033,0,-0.133046802,99.76923433,0
2.045,0,-0.133046802,99.76923433,0
2.058,-0.000429326,-0.133046802,99.77542283,-0.1
2.071,-0.000429326,-0.133046802,99.76923433,0
2.084,-0.000429326,-0.133046802,99.81112371,-0.1
2.096,-0.000429326,-0.166003349,99.8049352,0
2.109,-0.000429326,-0.166003349,99.77542283,-0.1
2.122,-0.000429326,-0.198959896,99.86923433,-0.1
2.134,0,-0.231916443,99.77542283,-0.1
2.147,-0.000429326,-0.26487299,99.76923433,0
2.16,0,-0.299050151,99.77542283,-0.1
2.173,0,-0.332006698,99.76923433,0
2.185,0,-0.332006698,99.77542283,-0.1
2.198,0,-0.364963245,99.76923433,0
2.211,0,-0.397919792,99.86923433,-0.1
2.223,0,-0.430876339,99.86304582,0
2.236,0,-0.430876339,99.96304582,-0.1
2.249,0,-0.463832887,99.86923433,-0.1
2.261,0,-0.498010047,99.86923433,-0.1
2.274,0,-0.498010047,99.86923433,-0.1
2.287,0,-0.530966594,99.86304582,0
2.3,0,-0.530966594,99.86923433,-0.1
2.312,-0.000429326,-0.530966594,99.86304582,0
2.325,-0.000429326,-0.530966594,99.86923433,-0.1
2.338,-0.000429326,-0.563923141,99.86304582,0
2.35,-0.000429326,-0.530966594,99.86923433,-0.1
2.363,0,-0.530966594,99.86923433,-0.1
2.376,0,-0.530966594,99.87542283,-0.2
2.388,0,-0.530966594,99.76923433,0
2.401,0,-0.530966594,99.77542283,-0.1
2.414,0,-0.530966594,99.76923433,0
2.427,0,-0.530966594,99.77542283,-0.1
2.439,0,-0.530966594,99.76923433,0
2.452,0,-0.498010047,99.76923433,0
2.465,0,-0.498010047,99.96304582,-0.1
2.477,0,-0.530966594,99.96304582,-0.1
2.49,0,-0.530966594,99.86923433,-0.1
2.503,0,-0.563923141,99.86304582,0
2.516,0,-0.596879688,99.86923433,-0.1
2.528,-0.000429326,-0.596879688,99.86304582,0
2.541,0,-0.629836235,99.86923433,-0.1
2.554,0,-0.629836235,99.86304582,0
2.566,0,-0.629836235,99.86923433,-0.1
2.579,0,-0.629836235,99.86304582,0
2.592,0,-0.596879688,99.86923433,-0.1
2.604,0,-0.563923141,99.86304582,0
2.617,0,-0.530966594,99.86923433,-0.1
2.63,0,-0.463832887,99.86304582,0
2.643,0,-0.397919792,99.87542283,-0.2
2.655,0,-0.364963245,99.86304582,0
2.668,0,-0.332006698,99.86923433,-0.1
2.681,-0.000429326,-0.26487299,99.86304582,0
2.693,-0.000429326,-0.231916443,99.76923433,0
2.706,-0.000429326,-0.198959896,99.8049352,0
2.719,0,-0.166003349,99.81112371,-0.1
2.731,-0.000429326,-0.133046802,99.8049352,0
2.744,-0.000429326,-0.100090254,99.8049352,0
2.757,-0.000429326,-0.065913094,99.89874669,0
2.77,0,-0.065913094,99.89874669,0
2.782,-0.000429326,-0.032956547,99.89874669,0
2.795,0,-0.032956547,99.9049352,-0.1
2.808,0,0,99.9049352,-0.1
2.82,0,0.032956547,99.89874669,0
2.833,0,0.032956547,99.9049352,-0.1
2.846,-0.000429326,0.065913094,99.89874669,0
2.859,-0.000429326,0.065913094,99.9049352,-0.1
2.871,-0.000429326,0.100090254,99.89874669,0
2.884,-0.000429326,0.100090254,99.9049352,-0.1
2.897,-0.000429326,0.133046802,99.9049352,-0.1
2.909,0,0.166003349,99.9049352,-0.1
2.922,0,0.166003349,99.8049352,0
2.935,0,0.198959896,99.81112371,-0.1
2.947,0,0.231916443,99.8049352,0
2.96,0,0.26487299,99.8049352,0
2.973,-0.000429326,0.26487299,99.79874669,0.1
2.986,-0.000429326,0.299050151,99.8049352,0
2.998,0,0.364963245,99.8049352,0
3.011,0,0.430876339,99.8049352,0
3.024,0,0.463832887,99.8049352,0
3.036,0,0.530966594,99.8049352,0
3.049,0,0.596879688,99.79874669,0.1
3.062,0,0.629836235,99.89874669,0
3.074,-0.000429326,0.696969943,99.89874669,0
3.087,-0.000429326,0.696969943,99.89874669,0
3.1,0,0.72992649,99.93444757,0
3.113,0,0.72992649,99.89874669,0
3.125,0,0.72992649,99.93444757,0
3.138,0,0.696969943,99.89874669,0
3.151,0,0.662792783,99.89874669,0
3.163,0,0.662792783,99.89874669,0
3.176,-0.000429326,0.629836235,99.89874669,0
3.189,-0.000429326,0.629836235,99.8049352,0
3.201,-0.000429326,0.596879688,99.8049352,0
3.214,0,0.563923141,99.8049352,0
3.227,0,0.563923141,99.8049352,0
3.24,-0.000429326,0.563923141,99.8049352,0
3.252,-0.000429326,0.563923141,99.8049352,0
3.265,0,0.563923141,99.8049352,0
3.278,0,0.563923141,99.8049352,0
3.29,0,0.530966594,99.76923433,0
3.303,0,0.498010047,99.8049352,0
3.316,0,0.498010047,99.8049352,0
3.329,-0.000429326,0.463832887,99.8049352,0
3.341,-0.000429326,0.430876339,99.8049352,0
3.354,-0.000429326,0.430876339,99.8049352,0
3.367,-0.000429326,0.397919792,99.89874669,0
3.379,-0.000429326,0.397919792,99.99255819,0
3.392,-0.000429326,0.364963245,99.99255819,0
3.405,-0.000429326,0.364963245,99.8049352,0
3.417,-0.000429326,0.364963245,99.8049352,0
3.43,-0.000429326,0.332006698,99.76923433,0
3.443,-0.000429326,0.332006698,99.76923433,0
3.456,0,0.299050151,99.86923433,-0.1
3.468,0,0.299050151,99.86304582,0
3.481,0,0.231916443,99.8049352,0
3.494,-0.000429326,0.198959896,99.76923433,0
3.506,-0.000429326,0.166003349,99.86923433,-0.1
3.519,0,0.100090254,99.76923433,0
3.532,0,0.032956547,99.76923433,0
