Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-03-03,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,0,99.59912127,-0.3
0.013,0,0,99.59912127,-0.3
0.026,0,0,99.5634204,-0.3
0.038,0,0,99.5634204,-0.3
0.051,0.000430692,0,99.5634204,-0.3
0.064,0.000430692,0,99.5634204,-0.3
0.076,0.000430692,0.032956547,99.5634204,-0.3
0.089,0,0.032956547,99.5634204,-0.3
0.102,0.000430692,0.032956547,99.5634204,-0.3
0.115,0.000430692,0.032956547,99.5634204,-0.3
0.127,0,0.032956547,99.5634204,-0.3
0.14,0,0.032956547,99.5634204,-0.3
0.153,0,0.032956547,99.55723189,-0.2
0.165,0,0.032956547,99.5634204,-0.3
0.178,0,0.032956547,99.55723189,-0.2
0.191,0.000430692,0.032956547,99.56960891,-0.4
0.203,0.000430692,0.032956547,99.55723189,-0.2
0.216,0.000430692,0.032956547,99.52771953,-0.3
0.229,0.000430692,0.032956547,99.55723189,-0.2
0.242,0.000430692,0.032956547,99.5634204,-0.3
0.254,0.000430692,0.032956547,99.55723189,-0.2
0.267,0,0.032956547,99.5634204,-0.3
0.28,0.000430692,0.032956547,99.5634204,-0.3
0.292,0.000430692,0.032956547,99.5634204,-0.3
0.305,0.000430692,0.065913094,99.5634204,-0.3
0.318,0,0.065913094,99.5634204,-0.3
0.33,0.000430692,0.065913094,99.5634204,-0.3
0.343,0.000430692,0.065913094,99.5634204,-0.3
0.356,0,0.065913094,99.5634204,-0.3
0.369,0,0.065913094,99.5634204,-0.3
0.381,0.000430692,0.065913094,99.5634204,-0.3
0.394,0.000430692,0.065913094,99.5634204,-0.3
0.407,0.000430692,0.100090254,99.5634204,-0.3
0.419,0,0.100090254,99.5634204,-0.3
0.432,0,0.100090254,99.55723189,-0.2
0.445,0,0.100090254,99.5634204,-0.3
0.458,0,0.100090254,99.55723189,-0.2
0.47,0,0.100090254,99.56960891,-0.4
0.483,0.000430692,0.100090254,99.55723189,-0.2
0.496,0.000430692,0.100090254,99.56960891,-0.4
0.508,0,0.100090254,99.62153102,-0.3
0.521,0,0.100090254,99.52771953,-0.3
0.534,0,0.100090254,99.65723189,-0.3
0.546,0.000430692,0.100090254,99.5634204,-0.3
0.559,0.000430692,0.100090254,99.65723189,-0.3
0.572,0.000430692,0.100090254,99.5634204,-0.3
0.585,0.000430692,0.100090254,99.6634204,-0.4
0.597,0.000430692,0.100090254,99.5634204,-0.3
0.61,0.000430692,0.100090254,99.5634204,-0.3
0.623,0,0.133046802,99.5634204,-0.3
0.635,0,0.100090254,99.5634204,-0.3
0.648,0.000430692,0.100090254,99.5634204,-0.3
0.661,0.000430692,0.100090254,99.5634204,-0.3
0.673,0.000430692,0.100090254,99.5634204,-0.3
0.686,0.000430692,0.100090254,99.6634204,-0.4
0.699,0,0.100090254,99.5634204,-0.3
0.712,0,0.133046802,99.5634204,-0.3
0.724,0,0.100090254,99.5634204,-0.3
0.737,0,0.100090254,99.55723189,-0.2
0.75,0,0.100090254,99.5634204,-0.3
